method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
censored Laplace,0.10829829983426617,0.26628703250967956,1520.195695818044,1023.8008093984802,496.3948864195638,0.6034482758620694,0.12068965517241415,868.0531346766418,255.00986205829807,368.2338050423776,1367.872464310906,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,2,rbf,1.1,0.2
censored sampled,0.1535752522225197,0.2758813965218986,1520.195695818044,1054.3399392724962,465.8557565455478,0.6034482758620694,0.12068965517241415,784.7957780114125,344.6605394235066,96.99718246837676,1520.6940402106775,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,2,rbf,1.1,0.2
oracle true,0.06640971342060573,0.14848400272943185,1520.195695818044,1185.571115195386,334.62458062265796,0.6034482758620694,0.12068965517241415,1185.571115195386,254.18187847241762,687.3746333894476,1683.7675970013245,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,2,rbf,1.1,0.2
exact clipped,0.11899215227297884,0.2912235358727237,1520.195695818044,978.0899997182117,542.1056960998322,0.6034482758620694,0.12068965517241415,848.3724412210744,39.20841233647386,771.5239530415856,925.2209294005631,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,2,path_aligned,1.1,0.2
discard saturated,0.10045902644821603,0.22049234441997084,1520.195695818044,1212.5670785166026,307.6286173014414,0.6034482758620694,0.12068965517241415,1206.759083551828,320.37050360049517,578.8328964948576,1834.6852706087986,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,2,path_aligned,1.1,0.2
censored Laplace,0.10098132588548737,0.2060711148958969,1520.195695818044,1344.6807034275353,175.51499239050872,0.6034482758620694,0.12068965517241415,1274.012888236979,300.547920606939,684.9389638473787,1863.0868126265796,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,2,path_aligned,1.1,0.2
censored sampled,0.10931376552692515,0.21740259067731563,1520.195695818044,1436.3919573704293,83.8037384476147,0.6034482758620694,0.12068965517241415,1394.2328831768282,276.77427424369847,923.2122421967813,1938.1109915262098,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,2,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_aligned_fixed,path-aligned fixed,2,path_aligned,1.1,0.2
exact clipped,0.10924284433222062,0.2833100539493436,1520.195695818044,860.4014785133717,659.7942173046723,0.6034482758620694,0.12068965517241415,860.4014785133717,12.66706243368589,835.5740361433474,885.228920883396,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,2,path_aligned,2.1,0.45
discard saturated,0.10479529704689791,0.2659386580792773,1520.195695818044,939.052443980005,581.143251838039,0.6034482758620694,0.12068965517241415,939.052443980005,34.76201704376757,870.9188905742205,1007.1859973857895,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,2,path_aligned,2.1,0.45
