trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.4210459635223904,0.5299407935680491,0.15960957185187966,0.05560961592815266,0.22000181342604766,4.751514223969567,3.34583786738797,-2.413934703287514,2.952123635147509,0.5384615384615384,3.7299653815402043,6.959433074313154,0.7224018943699707
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.4305276571609481,0.5418747311580223,0.18446721944089187,0.027298188646991038,0.21273780380177687,4.83273390107545,3.433393227757086,-2.60246268485619,3.044667295770779,0.46153846153846156,3.3698685349905917,6.292863310894859,0.6635976345941629
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.41940588592247074,0.527876543818346,0.15948247623530873,0.05509826650442197,0.22033066568487333,4.730674022541279,3.337789599346551,-2.4589452317791847,3.0175672702700123,0.38461538461538464,2.773095072332983,6.353642788206969,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.42080419548755194,0.5296364972314452,0.1834501150512362,0.032043609856505936,0.2128521993238965,4.6877992149718395,3.2734723610267733,-2.3897133709364677,2.9869315879770486,0.38461538461538464,2.6150254911736748,6.343733729054236,0.658173803381235
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.41940588592247074,0.527876543818346,0.15948247623530873,0.05509826650442197,0.2198949203863713,4.730674022541279,3.337789599346551,-2.4589452317791847,2.944855729056474,0.5384615384615384,3.7299653815402043,6.353642788206969,0.7224018943699707
DiagonalScanPath_3,Diagonal,3,evaluation,hybrid previous state | moment-matched | development-recalibrated gamma,hybrid previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.4293152026069825,0.5403487003106573,0.18434012382432097,0.026786839223260327,0.212638401684259,4.817239593943593,3.42534495971567,-2.647473213347863,3.037686681375175,0.46153846153846156,3.3698685349905917,5.687073024788674,0.6635976345941629
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.4509425088690126,0.5675694620236003,0.15834212595698705,-0.014368393717434707,0.2354175178635931,4.749454622036784,3.3464961844849266,-2.418139001028047,3.0256675525308045,0.38461538461538464,2.773095072332983,6.935016658145969,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | mean-only | fixed gamma,coherent latent previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.4436828465657787,0.5584322382159501,0.1717886415663987,-0.03718746033786515,0.22209507725547947,4.711208670764445,3.290533966078912,-2.3576452783054287,2.9889350180476715,0.38461538461538464,2.6110954848878034,6.924837370041985,0.6582702992005823
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.4509425088690126,0.5675694620236003,0.15834212595698705,-0.014368393717434707,0.6725270967688692,4.749454622036784,3.3464961844849266,-2.418139001028047,2.959670898515865,0.5,3.879336680924806,6.935016658145969,2.6806061958128122
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.5380885037338643,0.6772539660350031,0.37834270269044923,-0.04334547276521732,0.5561747862661585,4.793516048798871,3.3782080943653603,-2.4763070154546347,3.0050042578279275,0.5,3.348404242917691,6.754558328164364,2.0715786675128567
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.4486992366725456,0.5647460138707203,0.15816548137412118,-0.01507909569198455,0.2352466375893114,4.72170807513115,3.3353102522763547,-2.480697146182833,3.0150361024671968,0.38461538461538464,2.773095072332983,6.093055501022377,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.4413947638859845,0.5555523902750377,0.1716119969835328,-0.03789816231241495,0.2219240851127318,4.683097484826589,3.279348033870338,-2.4202034234602126,2.9782928070981693,0.38461538461538464,2.6110954848878034,6.082876212918393,0.6582702992005823
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.4486992366725456,0.5647460138707203,0.15816548137412118,-0.01507909569198455,0.6723618671738689,4.72170807513115,3.3353102522763547,-2.480697146182833,2.9495830003323467,0.5,3.879336680924806,6.093055501022377,2.6806061958128122
DiagonalScanPath_3,Diagonal,3,evaluation,coherent latent previous state | moment-matched | development-recalibrated gamma,coherent latent previous state,moment-matched,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.536319455446278,0.6750273899967465,0.37816605810758336,-0.04405617473976719,0.5560073850709051,4.7676348583685755,3.367022162156786,-2.538865160609423,2.9946421534007754,0.5,3.348404242917691,5.912597171040716,2.0715786675128567
DiagonalScanPath_3,Diagonal,3,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current forecast before Y_n,0.6011519410295681,0.7566274570572892,0.03094732414798018,0.028996136827775954,0.19294862333028134,7.409782204162456,2.702882061950314,2.702882061950314,2.574200132501219,0.7307692307692307,2.773095072332983,34.0208930359733,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n,0.6049679835206577,0.7614304400121651,0.08277631297998259,0.030994435733754065,0.18432568799820787,7.415758184828803,2.721268680138693,2.721268680138693,2.595702077393737,0.7307692307692307,2.7286588727067103,34.03413484414551,0.6584181089038177
DiagonalScanPath_3,Diagonal,3,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.38507600673374354,0.4846679514162913,0.022780479717714203,0.0075125166793182565,0.18508644182303782,4.740535600561168,1.9122672240731835,0.8118286023778121,1.819124194796738,0.8076923076923077,2.773095072332983,17.30122915715691,0.7159318740849122
DiagonalScanPath_3,Diagonal,3,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n,0.3909538452939187,0.4920659713497575,0.0746451249315938,0.009510815585296435,0.17622364336870638,4.74861869490886,1.931453246665193,0.830215220566196,1.820787455178002,0.8076923076923077,2.7286588727067103,17.31447096532912,0.6584181089038177
DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n,0.3832553054183482,0.5163091737669931,0.1649361229947047,0.06838008727952467,0.2219255944114465,4.5231102255500275,3.138947369793849,-2.0726462346049197,2.803208686058848,0.46153846153846156,2.7608296408302695,10.200184996978862,0.7159318740849122
DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n,0.38632157496837466,0.5204399531079155,0.1873602291760138,0.05479643870417189,0.21339236904310271,4.487366681356582,3.085505000958497,-2.0222944308229236,2.7475438983716245,0.4230769230769231,2.6471433288148534,10.161652714386378,0.6579468150401352
DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n,0.3832553054183482,0.5163091737669931,0.1649361229947047,0.06838008727952467,0.22049375724720816,4.5231102255500275,3.138947369793849,-2.0726462346049197,2.6846579010521663,0.5384615384615384,4.40480702363253,10.200184996978862,0.7249147979130349
DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n,0.3837416607688672,0.5169643759928554,0.1884640572082463,0.06020004658092466,0.21290663378858946,4.388970916656092,2.9490504109060067,-1.7719151225743592,2.5595022288914326,0.5,4.0177335103828336,10.707045138751937,0.6656761481098267
DiagonalScanPath_4,Diagonal,4,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n,0.380679937430459,0.512839721161447,0.16470166568255187,0.0678591684148069,0.22171563282725196,4.4853643232621225,3.119080430444134,-2.120068571760977,2.784466550239858,0.46153846153846156,2.7608296408302673,9.47735141067568,0.7159318740849122
