region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage
above_camera_ceiling,76,3.3230573333369686,0.783997145397835,0.7833939536989738,0.6910032907736497,0.9210526315789473,2.617993313895827,1.0,0.0,-1.108228566445227,4.660714122892336,1.1091704695740907,0.17101524271989277,0.06578947368421052,0.7962483399698304,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,5.679533501775729,2.1369701752981487,2.1369701752981487,0.6958894834989225,0.7692307692307693,2.615470626316953,1.0,0.0,-3.01035779176793,7.965145139456723,3.01035779176793,0.3127110023641197,0.19230769230769232,2.007389853060568,HorizontalScanPath_1,Horizontal,1,evaluation,strict oracle | exact previous state | fixed gamma,true previous state,exact state; innovation only,fixed gamma,current-frame truth,current posterior after Y_n
overall,2501,0.42916237747747255,0.018819623607291842,0.01687572566043264,0.7159318740849122,0.9984006397441023,2.733135699154833,1.0,0.0,-0.023571692044026964,0.5994458313872644,0.026286891656202144,8.619127421216348e-06,0.001599360255897641,0.18108563026074792,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.4616619481725364,0.5722841174782862,0.5721226873945345,0.715931874084912,0.9473684210526315,2.6960521671400186,1.0,0.0,-0.7991300682426087,3.4384025034769907,0.799355550707624,0.09938419022114717,0.05263157894736842,0.6204874900383544,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.207983320162767,1.5785938672346294,1.5785938672346294,0.7159318740849122,0.8461538461538461,2.7406872566149767,1.0,0.0,-2.204949834441094,5.8776309205974595,2.204949834441094,0.2603915310295317,0.15384615384615385,1.4898381615357341,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
overall,2501,0.43662975502651424,0.06769113068295496,0.023669219762888452,0.6575144304628701,0.998000799680128,2.510256252969198,1.0,0.0,-0.03495745402773101,0.6192506113627996,0.1090473394218051,0.047040072275568744,0.001599360255897641,0.17109914975653714,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.4665427932931285,0.6029945416314874,0.602391349932626,0.6910032907736497,0.9342105263157895,2.617993313895827,1.0,0.0,-0.853762294125942,3.4602177471215985,0.8547041972548057,0.17101524271989277,0.05263157894736842,0.6183565392135675,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.214489622995434,1.6078856412119014,1.6078856412119014,0.6958894834989225,0.8076923076923077,2.615470626316953,1.0,0.0,-2.2665333034500197,5.911516203051968,2.2665333034500197,0.3127110023641197,0.15384615384615385,1.4873984354653376,HorizontalScanPath_1,Horizontal,1,evaluation,recalibrated oracle | exact previous state | development-recalibrated gamma,true previous state,exact state; innovation only,development-recalibrated gamma,current-frame truth,current posterior after Y_n
overall,2501,0.4909638486661819,0.1572866221695654,0.05604528287844399,0.7159318740849122,0.9928028788484606,2.738880521797569,1.0,0.0,-0.07828298320993152,0.6857689487477013,0.2196949568289659,0.08985761374192386,0.006797281087564974,0.21450332707900696,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.569069276644154,1.234740936672304,-0.9319466917652433,0.715931874084912,0.8026315789473685,2.72561159518856,1.0,0.0,1.3017253812821732,3.5884270132935208,1.7246626129762996,0.6698376184596265,0.18421052631578946,1.0432179029072308,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.351635218809813,2.9229841554849236,-2.833016023372144,0.7159318740849122,0.4230769230769231,2.7427906496095864,1.0,0.0,3.9571027997506616,6.078281155412969,4.082768572388281,2.0470957676020114,0.5384615384615384,2.5497274747906364,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current forecast before Y_n
