model,state_representation,propagation,gamma_mode,stage,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,crps_K_mean,crps_K_std,n_trajectories
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current forecast before Y_n,current_top_1pct,4.32054596350015,0.3794380461418725,3.1866497124109587,0.4125854610306781,-2.6402713156609137,0.43242639807226657,0.94749272735533,0.134637171136152,0.41794871794871796,0.15540763720166814,3.628611651360975,0.5243150678128343,3.016777085910958,0.7474315935228224,4.873603286008991,0.8580008433049878,3.577031402045429,0.7781584659957378,2.291747755002515,0.6612471693091311,0.5743589743589743,0.1619022471066204,1.0,0.0,0.0,0.0,2.7544238871085285,0.412416213796978,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current posterior after Y_n,overall,0.6147670542155701,0.05393536705767568,0.33558213137040754,0.04245459322747585,-0.05515800667182758,0.04310879144258567,2.276437216837618,0.2972084480516834,0.9925629748100759,0.001632115059859446,8.707168760969179,1.1363182103236085,0.0288970682002596,0.021471579106637582,0.5903004181235089,0.07012116682298417,0.19856261595288716,0.031049358376089548,0.10505581574227851,0.02294056539781179,0.0069972011195521796,0.001652757508071498,1.0,0.0,0.0,0.0,0.595254224911287,0.060804532294673835,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current posterior after Y_n,above_camera_ceiling,2.5985843146111374,0.2036417519031665,1.4771901538878187,0.13038252460689262,-0.6620159588543226,0.32808257228034143,0.8725239562148239,0.06685254014001946,0.769298245614035,0.05600928060138119,3.3357375834830663,0.25644339313038694,0.8501093901231797,0.42728521100683153,3.115777345053648,0.41860474603791314,1.7526699359381732,0.22747240051276402,0.8289686293042113,0.16830524683610065,0.22149122807017543,0.05636522472485305,1.0,0.0,0.0,0.0,1.226352231447667,0.12551417165654857,30
coherent latent previous state | moment-matched | fixed gamma,coherent latent previous state,moment-matched,fixed gamma,current posterior after Y_n,current_top_1pct,4.3037859668381335,0.37702518645292343,3.156458242657254,0.400816606957005,-2.6041071576815615,0.46220933069485465,0.8612297243685241,0.08544030018122253,0.38974358974358975,0.15309276184448078,3.2916810913938037,0.3370588610094537,3.185919018020913,0.7101663123703905,5.180808252523506,0.769652380587136,3.8103777022561283,0.7559549278041064,2.4952504257673866,0.7196014579585019,0.5961538461538461,0.15409462693486053,1.0,0.0,0.0,0.0,2.759426013147937,0.40310539754497665,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,overall,0.5404952902354014,0.045602307870208025,0.16608572709485195,0.03092899039452563,-0.031156509847757072,0.03910769435560189,0.7159318740849115,2.290546893696837e-15,0.9802479008396642,0.010649721073859895,2.7381721842140174,0.004444462697681649,0.04351881928372112,0.05462488229845677,0.754953522534879,0.06369643470406415,0.23198537892608714,0.043201024446716134,0.036551872401738045,0.014301160855903872,0.01807277089164334,0.01034022435947917,1.0,0.0,0.0,0.0,0.23951153443135806,0.0174668796958745,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,above_camera_ceiling,2.603067142768645,0.2009784937372761,1.4698609284435666,0.13630206088478083,-0.7153973408503216,0.32172246788764586,0.7159318740849112,2.239031499692974e-15,0.718859649122807,0.04350049562209946,2.7400701245836516,0.02539355858041124,0.9992533741631865,0.4493758128856379,3.635914584883972,0.2807229305081052,2.0530737373892043,0.19038412147663974,1.0003745322694944,0.23824798474772105,0.268859649122807,0.04352793496184786,1.0,0.0,0.0,0.0,1.2406040591901155,0.12625478185594122,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current forecast before Y_n,current_top_1pct,4.321808531129047,0.3740993065022773,3.1882957069566475,0.40630662147448265,-2.687483124868886,0.42381576375340835,0.7159318740849115,2.248030287623391e-15,0.3128205128205128,0.1264513108950212,2.741239941370883,0.03684729950654675,3.7538252201775033,0.5919777832145242,6.036619806393016,0.5225347830482376,4.453350692105806,0.5675213469072221,2.873065483291078,0.7481998653787598,0.6679487179487179,0.126350421558812,1.0,0.0,0.0,0.0,2.8255137360757963,0.39406493604664256,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,overall,0.5387215640764919,0.04499516371766439,0.17717052948885834,0.028843909300700545,-0.051161144638214605,0.036276587852689536,0.6582668774649562,0.0003767009960602658,0.9787818206050912,0.011041785108874798,2.517571696211062,0.003390327939051277,0.0709689268091472,0.052580559465937524,0.7766309355992254,0.06431679715162465,0.2697340116310718,0.042140863087252685,0.07639440574918514,0.01099978505381371,0.019645475143276022,0.011281723460758118,1.0,0.0,0.0,0.0,0.22785502569369817,0.017404773697982726,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,above_camera_ceiling,2.5984173707861795,0.19804405764568447,1.4669182040538606,0.12766865796933172,-0.6917583458153734,0.3086815614775404,0.6879709487635614,0.005953189532660743,0.7096491228070175,0.04477863604154768,2.6278317715285437,0.03076042477318465,0.9796162038248445,0.44523573380319154,3.6907268713009485,0.2812773326603113,2.104481418445912,0.18214123558709713,1.0422366996603445,0.2476494034571473,0.27675438596491225,0.043225144217488326,1.0,0.0,0.0,0.0,1.240159734087946,0.1176838572279661,30
coherent latent previous state | mean-only | development-recalibrated gamma,coherent latent previous state,mean-only,development-recalibrated gamma,current posterior after Y_n,current_top_1pct,4.312233272481758,0.367291959614099,3.170444287706424,0.38947464852499486,-2.669494148030209,0.41935531257332653,0.6993155159676796,0.005888473994931501,0.3038461538461538,0.12343697335293242,2.6631411303085715,0.043585480857685224,3.8046956161229817,0.6013939965129067,6.116027580981143,0.5242268378400312,4.518150474904415,0.5614163675147616,2.950192160689044,0.7387090255975388,0.6730769230769231,0.12235781299591222,1.0,0.0,0.0,0.0,2.818490451767499,0.37411976523796153,30
