region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,state_representation,stage,region_basis
previous_top_1pct,26,9.314163588423064,4.843449563396164,-4.843449563396164,0.6519117834425654,0.34615384615384615,2.423683508327713,1.0,0.0,8.274936800617407,17.27751867221385,8.274936800617407,3.3310287265627423,0.7307692307692307,4.545355656176852,HorizontalScanPath_1,Horizontal,1,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,0.9801763384990112,0.25737848195875995,-0.04374582483884764,0.01872569303060204,0.021991203518592562,0.06405691443780527,0.03278688524590164,0.9672131147540983,3.619644301122009,15.657827405443639,4.449403439688681,1.0359642151810133,0.2682926829268293,0.25158636223696895,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2419,0.25176987239968984,0.20147494349801218,0.0036727110376258876,7.046660424175856e-13,0.0,0.0,0.0,1.0,,,,,,0.2014749434980054,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,82,5.237632522309665,1.90653286655082,-1.4425926331948167,0.5711336374125746,0.6707317073170732,1.9537358903530606,1.0,0.0,3.619644301122009,15.657827405443639,4.449403439688681,1.0359642151810133,0.2682926829268293,1.7298732150363945,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.256681427032875,4.967348608000441,-4.894354572824218,0.7014689371998165,0.34615384615384615,2.3400724474511296,1.0,0.0,11.896977416992456,27.753034290418146,11.950978223007931,4.470610574336901,0.6923076923076923,4.716800754118791,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0031258153418343,0.2945853358584142,-0.06704918928306977,2.8351943223347287,0.9868052778888444,10.859679353543143,1.0,0.0,0.11198161632669293,2.5535539920116075,0.25705395400791653,0.06662807956899205,0.011195521791283487,0.7296734399414265,HorizontalScanPath_2,Horizontal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2419,0.33499731502663466,0.240092009997085,-0.020386095691046952,2.911951525653925,0.9975196362133113,11.161455216909923,1.0,0.0,0.000619661322999012,0.26441105299103795,0.12296952411640408,0.06357678579750586,0.0024803637866887144,0.6959446814559288,HorizontalScanPath_2,Horizontal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,82,5.232627285708882,1.9021384487676258,-1.4436104502477427,0.5708568244184329,0.6707317073170732,1.9572913842231983,1.0,0.0,3.3971592889356628,14.029148910492353,4.212544635807535,1.0428252109817406,0.2682926829268293,1.7246718152636091,HorizontalScanPath_2,Horizontal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.248271047655589,4.963399459064804,-4.8895015396052965,0.7082616779849109,0.3076923076923077,2.3551573947237308,1.0,0.0,11.17365594070471,24.856014762539434,11.227668070518355,4.465273659523746,0.6923076923076923,4.708487382946066,HorizontalScanPath_2,Horizontal,2,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.0187689604064132,0.25783299738332094,-0.0660382946287794,0.0134619486844342,0.01719312275089964,0.05072851372040243,0.03198720511795282,0.9680127948820472,4.201041840251449,11.471871393809447,5.125016936904467,1.6151882645734115,0.4625,0.2526849420549971,HorizontalScanPath_3,Horizontal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2421,0.2470960097016858,0.19668407342996533,-0.010314819617967281,7.020826057247728e-13,0.0,0.0,0.0,1.0,,,,,,0.19668407342992572,HorizontalScanPath_3,Horizontal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,80,5.531665369138604,2.108352308521746,-1.7523699571434812,0.42085417072587755,0.5375,1.585900160184081,1.0,0.0,4.201041840251449,11.471871393809447,5.125016936904467,1.6151882645734115,0.4625,1.9474112288212204,HorizontalScanPath_3,Horizontal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.662738619674016,5.40853465479626,-5.40853465479626,0.3992478246098019,0.038461538461538464,1.4983902738149197,1.0,0.0,12.965273606565145,19.977570287665856,12.965273606565145,7.0827252993087875,0.9615384615384616,5.197683008559296,HorizontalScanPath_3,Horizontal,3,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0410754847637715,0.30299461404951894,-0.07029450390141884,2.820327197334836,0.9820071971211516,10.798377449347862,1.0,0.0,0.1270435618519829,2.0350181630024555,0.28392840636791145,0.06796167244729469,0.01799280287884846,0.7336495425011426,HorizontalScanPath_3,Horizontal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2421,0.3285998735047987,0.24326182743961047,-0.014680950691991872,2.899611534737121,0.9962825278810409,11.102880629840273,1.0,0.0,-0.005754686728782855,0.2724883512863211,0.12568095936351115,0.06461168217165546,0.003304419661296985,0.6935435181537724,HorizontalScanPath_3,Horizontal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,80,5.533155531328144,2.110658068831873,-1.7532996579017024,0.42098493669819803,0.55,1.583349949696246,1.0,0.0,4.145850559527409,11.279200767650263,5.0728917713385755,1.4953639383535036,0.4625,1.9473581043134367,HorizontalScanPath_3,Horizontal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.665046087657394,5.409785425542404,-5.409785425542404,0.40115379479315155,0.07692307692307693,1.536410387665934,1.0,0.0,12.779128790057419,19.634843190239696,12.779128790057419,6.799903769098136,0.9615384615384616,5.198133235032712,HorizontalScanPath_3,Horizontal,3,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,1.0019297420727888,0.2601873441106419,-0.044909372397388306,0.018361121648884957,0.022790883646541384,0.06741150137743956,0.03598560575769692,0.9640143942423031,3.32589645034243,14.26567844646204,4.401920475530369,1.221030637903933,0.3111111111111111,0.253618823199093,HorizontalScanPath_4,Horizontal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2411,0.25023124880743913,0.20209424009814783,0.002656481554838779,6.927005225162645e-13,0.0,0.0,0.0,1.0,,,,,,0.20209424009816412,HorizontalScanPath_4,Horizontal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,90,5.1204334494966055,1.8164370527120122,-1.3191457488287162,0.5102351693576797,0.6333333333333333,1.8732907216108483,1.0,0.0,3.32589645034243,14.26567844646204,4.401920475530369,1.221030637903933,0.3111111111111111,1.6339051549361991,HorizontalScanPath_4,Horizontal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
