method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd,scenario
censored sampled,0.08569692294797077,0.11088961627124337,1323.1498397771425,1138.7428962876552,184.40694348948728,0.13936966014412008,0.250429799426934,1138.7428962876552,32.42258138371104,1078.0690479148898,1198.729802565691,False,0.25,4,0.2727272727272727,840.05531621472,20.0,1.3554482216996568,500.0,unsat_mll_tuned
oracle true,0.015316085808965471,0.013121819086825597,1323.1498397771425,1301.0284563420587,22.12138343508377,0.01671872887715398,0.250429799426934,1301.0284563420587,7.364008477673104,1286.5949997258194,1315.461912958298,False,0.25,4,0.2727272727272727,840.05531621472,20.0,1.3554482216996568,500.0,unsat_mll_tuned
exact clipped,0.22324878629369582,0.2898332643986337,1323.1498397771425,850.0590096884201,473.0908300887223,0.3575489456042294,0.250429799426934,839.9404622708256,11.192394826987393,818.0033684099303,861.8775561317209,False,0.25,5,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.15970690163129678,0.20707226205613732,1323.1498397771425,977.237382856193,345.91245692094947,0.2614310537793749,0.250429799426934,943.6766954826622,392.3853554085726,174.60139888185995,1712.7519920834645,True,0.25,5,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.10734358800793146,0.1386339218495565,1323.1498397771425,1070.593132954748,252.55670682239452,0.1908753636435708,0.250429799426934,1059.6943226572348,344.3770694323517,384.71526656982553,1734.6733787446442,True,0.25,5,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.027106328942625744,0.03091622483879503,1323.1498397771425,1296.8409282999742,26.308911477168294,0.019883546584262515,0.250429799426934,1293.3561477932874,279.70089465456556,891.698044700099,1938.6494095515852,True,0.25,5,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,5,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21920015440959173,0.2828137135125489,1323.1498397771425,868.2274516103629,454.92238816677957,0.34381774043323915,0.250429799426934,868.0513337168471,7.443208317950457,853.4626454136642,882.6400220200301,False,0.25,5,0.2545454545454545,840.05531621472,20.0,1.3235603116304784,500.0,unsat_mll_tuned
discard saturated,0.10526976370940239,0.1356257389210522,1323.1498397771425,1100.9551820813763,222.19465769576618,0.16792856788856986,0.250429799426934,1100.9551820813763,43.65376060104409,1015.3938113033298,1186.5165528594227,False,0.25,5,0.2545454545454545,840.05531621472,20.0,1.3235603116304784,500.0,unsat_mll_tuned
censored Laplace,0.08581643800591836,0.1103144941988447,1323.1498397771425,1139.4071570394158,183.74268273772668,0.13886763026678398,0.250429799426934,1139.106889255076,36.89062964783582,1066.801255145318,1211.4125233648342,False,0.25,5,0.2545454545454545,840.05531621472,20.0,1.3235603116304784,500.0,unsat_mll_tuned
censored sampled,0.08563072483558065,0.11022257390266099,1323.1498397771425,1139.4598620167028,183.68997776043966,0.13882779730478484,0.250429799426934,1139.2456750299598,39.673168252111665,1065.502782690289,1219.0855110022203,False,0.25,5,0.2545454545454545,840.05531621472,20.0,1.3235603116304784,500.0,unsat_mll_tuned
oracle true,0.013513173924144426,0.011717033265704134,1323.1498397771425,1303.4811855572652,19.668654219877226,0.014865024072549492,0.250429799426934,1303.4811855572652,7.443208317950457,1288.8924972540824,1318.069873860448,False,0.25,5,0.2545454545454545,840.05531621472,20.0,1.3235603116304784,500.0,unsat_mll_tuned
exact clipped,0.2251305887019605,0.2897165505815432,1323.1498397771425,850.1306551285292,473.0191846486133,0.3574947979650466,0.250429799426934,839.330040603138,11.192394826987393,817.3929467422427,861.2671344640332,False,0.25,6,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.18157227591289102,0.23216870504681872,1323.1498397771425,973.3704007368664,349.7794390402761,0.26435361175661654,0.250429799426934,908.9557008389362,392.3853554085726,139.8804042381339,1678.0309974397385,True,0.25,6,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.08789295562061071,0.10617880863457381,1323.1498397771425,1162.1617412643886,160.98809851275382,0.12167034577117054,0.250429799426934,1122.187977953643,354.6802778104704,427.01463344512104,1817.361322462165,True,0.25,6,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.044238297344936964,0.035870742711464704,1323.1498397771425,1319.6948107947194,3.455028982423073,0.0026112152067410614,0.250429799426934,1305.1473647934154,258.1617605133641,900.2030177328834,1877.346156770245,True,0.25,6,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,6,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.2189717253481791,0.2822366133108254,1323.1498397771425,870.259341484007,452.89049829313547,0.3422820943464843,0.250429799426934,870.259341484007,7.254985827708155,856.0395692616991,884.4791137063149,False,0.25,6,0.2545454545454545,840.05531621472,20.0,1.4012557821035903,500.0,unsat_mll_tuned
discard saturated,0.13124565711364417,0.16903495369089658,1323.1498397771425,1047.6595057248655,275.4903340522769,0.20820796388312124,0.250429799426934,1047.479127980669,38.19171258972492,972.6233713048082,1122.33488465653,False,0.25,6,0.2545454545454545,840.05531621472,20.0,1.4012557821035903,500.0,unsat_mll_tuned
censored Laplace,0.10901889598263197,0.14002530656640808,1323.1498397771425,1090.3665103794178,232.78332939772463,0.17593119267348603,0.250429799426934,1090.3665103794178,31.41047261076489,1028.8019840623188,1151.931036696517,False,0.25,6,0.2545454545454545,840.05531621472,20.0,1.4012557821035903,500.0,unsat_mll_tuned
censored sampled,0.10658935751429613,0.1367485290941784,1323.1498397771425,1095.061854196869,228.08798558027343,0.17238258186895158,0.250429799426934,1095.061854196869,31.667140422579752,1030.1134195397262,1160.4149738209778,False,0.25,6,0.2545454545454545,840.05531621472,20.0,1.4012557821035903,500.0,unsat_mll_tuned
oracle true,0.018158824931876136,0.01524965883748178,1323.1498397771425,1297.2690933380732,25.8807464390693,0.01955995130787937,0.250429799426934,1297.2690933380732,7.254985827708155,1283.0493211157652,1311.488865560381,False,0.25,6,0.2545454545454545,840.05531621472,20.0,1.4012557821035903,500.0,unsat_mll_tuned
