method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold
censored sampled,0.09544847301886747,0.230001409566055,1561.3444342951848,1050.7410958896828,510.603338405502,0.12068965517241415,-0.1206896551724137,1050.7410958896828,12.297972154388047,1015.33435904044,1069.9919089763887,False,rotated_wake,rotated wake,21,441,14,0.031746031746031744,0.9074691731117374,0.9074691731117374,874.792886220778
oracle true,0.04643763750582233,0.06849230212073697,1561.3444342951848,1404.795105852993,156.54932844219184,0.12068965517241415,-0.1206896551724137,1404.795105852993,9.836144529675545,1385.516262574829,1424.073949131157,False,rotated_wake,rotated wake,21,441,14,0.031746031746031744,0.9074691731117374,0.9074691731117374,874.792886220778
exact clipped,0.15151293917545078,0.37627100469339175,1520.195695818044,712.6295903281483,807.5661054898957,0.6034482758620694,0.12068965517241415,703.9010944854002,10.506498871514006,683.3083566972327,724.4938322735677,False,laser_path,moving-laser path,13,169,3,0.01775147928994083,1.4218698714442377,1.4218698714442377,754.8036769832042
discard saturated,0.16209487991139399,0.41170225632888946,1520.195695818044,678.3855146764603,841.8101811415837,0.6034482758620694,0.12068965517241415,647.3083672621782,13.446232281938817,620.9537519895781,673.6629825347783,False,laser_path,moving-laser path,13,169,3,0.01775147928994083,1.4218698714442377,1.4218698714442377,754.8036769832042
censored Laplace,0.1511916692173566,0.37507405728550713,1520.195695818044,714.4021469987954,805.7935488192486,0.6034482758620694,0.12068965517241415,706.0152861397604,10.63252163702017,685.1755437312008,726.85502854832,False,laser_path,moving-laser path,13,169,3,0.01775147928994083,1.4218698714442377,1.4218698714442377,754.8036769832042
censored sampled,0.1536950212704435,0.38151234044874244,1520.195695818044,702.6127574265965,817.5829383914474,0.6034482758620694,0.12068965517241415,696.0387480588772,12.444982967859598,674.5749350217441,715.3178635425604,False,laser_path,moving-laser path,13,169,3,0.01775147928994083,1.4218698714442377,1.4218698714442377,754.8036769832042
oracle true,0.13031170085796248,0.2778077471023346,1520.195695818044,903.1839452842017,617.0117505338422,0.6034482758620694,0.12068965517241415,903.1839452842017,10.506498871514006,882.5912074960343,923.7766830723692,False,laser_path,moving-laser path,13,169,3,0.01775147928994083,1.4218698714442377,1.4218698714442377,754.8036769832042
exact clipped,0.13293928171729433,0.34021904092551136,1520.195695818044,775.648822888956,744.546872929088,0.6034482758620694,0.12068965517241415,775.648822888956,9.88468786648378,756.2748346706478,795.0228111072643,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1327948711443758,1.1327948711443758,790.7890913339897
discard saturated,0.15671151491056023,0.41181521793527304,1520.195695818044,685.8718174621521,834.3238783558919,0.6034482758620694,0.12068965517241415,685.8718174621521,15.021951171615948,656.4287931657848,715.3148417585194,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1327948711443758,1.1327948711443758,790.7890913339897
censored Laplace,0.13214015732854442,0.3373699197658323,1520.195695818044,780.9928019780281,739.2028938400159,0.6034482758620694,0.12068965517241415,780.9928019780281,10.236022440966522,760.9301979937337,801.0554059623224,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1327948711443758,1.1327948711443758,790.7890913339897
censored sampled,0.14559354396818328,0.3796427955462546,1520.195695818044,730.5893471946852,789.6063486233588,0.6034482758620694,0.12068965517241415,730.5893471946852,16.928372494749002,699.4818388419781,751.861508341511,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1327948711443758,1.1327948711443758,790.7890913339897
oracle true,0.1072024035755358,0.21464215981050333,1520.195695818044,1033.0154353075545,487.18026051048946,0.6034482758620694,0.12068965517241415,1033.0154353075545,9.88468786648378,1013.6414470892463,1052.3894235258626,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.1327948711443758,1.1327948711443758,790.7890913339897
exact clipped,0.13262075227080422,0.3406384616241742,1520.195695818044,755.8837506332405,764.3119451848034,0.6034482758620694,0.12068965517241415,755.8837506332405,9.026304310745559,738.1921941841792,773.5753070823018,False,laser_path,moving-laser path,21,441,14,0.031746031746031744,0.9996685057625828,0.9996685057625828,759.9779434597364
discard saturated,0.1621619596973796,0.42541575056157993,1520.195695818044,669.4808418912202,850.7148539268238,0.6034482758620694,0.12068965517241415,623.8929427929764,17.067289826470287,590.4410547330947,657.3448308528582,False,laser_path,moving-laser path,21,441,14,0.031746031746031744,0.9996685057625828,0.9996685057625828,759.9779434597364
censored Laplace,0.13112421432106539,0.33601022632025823,1520.195695818044,764.8208205182567,755.3748752997873,0.6034482758620694,0.12068965517241415,764.8208205182567,9.685651900925883,745.836942792442,783.8046982440715,False,laser_path,moving-laser path,21,441,14,0.031746031746031744,0.9996685057625828,0.9996685057625828,759.9779434597364
censored sampled,0.15122163066596658,0.39410311855312824,1520.195695818044,690.751680892022,829.444014926022,0.6034482758620694,0.12068965517241415,674.2597399418165,10.244823314381525,654.8722518570409,690.8301661203079,False,laser_path,moving-laser path,21,441,14,0.031746031746031744,0.9996685057625828,0.9996685057625828,759.9779434597364
oracle true,0.0930290786112853,0.17675146975017653,1520.195695818044,1119.0955195548363,401.1001762632077,0.6034482758620694,0.12068965517241415,1119.0955195548363,9.026304310745559,1101.403963105775,1136.7870760038977,False,laser_path,moving-laser path,21,441,14,0.031746031746031744,0.9996685057625828,0.9996685057625828,759.9779434597364
