method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_lengthscale,kernel_lengthscale_y,kernel_angle_degrees
censored sampled,0.05803013515292487,0.13700972335053363,1302.3172913701162,1044.8729883508854,257.4443030192308,0.36206896551724155,-0.1206896551724137,1044.8729883508854,21.77621682370729,1006.3091552163758,1087.6854102691952,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,2,1.75,0.9,0.0
oracle true,0.020316090082124778,0.033587466453411347,1302.3172913701162,1222.6069710627312,79.71032030738502,0.36206896551724155,-0.1206896551724137,1222.6069710627312,9.08471663291297,1204.8009264622217,1240.4130156632407,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,1.75,1.75,808.9584790988589,anisotropic_tuned,anisotropic tuned,2,1.75,0.9,0.0
exact clipped,0.10575737318904747,0.2545581435968885,1302.3172913701162,834.5198943895174,467.7973969805988,0.36206896551724155,-0.1206896551724137,780.0659964543205,22.75300564775162,735.4701053847273,824.6618875239137,False,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,2,0.75,0.48,0.0
discard saturated,0.0414204754833205,0.06927325269120913,1302.3172913701162,1200.1325688611273,102.1847225089889,0.36206896551724155,-0.1206896551724137,1200.1325688611273,230.85127433529226,747.6640711639545,1652.6010665583,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,2,0.75,0.48,0.0
censored Laplace,0.03817990750824599,0.05668769433741852,1302.3172913701162,1249.3152781350896,53.00201323502665,0.36206896551724155,-0.1206896551724137,1249.3152781350896,219.18153411006972,819.7194712793529,1678.911084990826,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,2,0.75,0.48,0.0
censored sampled,0.03394993961359224,0.03677675989377193,1302.3172913701162,1382.4908322542265,80.17354088411025,0.36206896551724155,-0.1206896551724137,1382.4908322542265,196.3710599722169,1027.8714976554295,1733.3524070476224,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,2,0.75,0.48,0.0
oracle true,0.0005216724313355512,0.0009326150203460863,1302.3172913701162,1300.4120070590438,1.9052843110723643,0.36206896551724155,-0.1206896551724137,1300.4120070590438,22.75300564775162,1255.8161159894507,1345.007898128637,True,axis_gaussian,axis Gaussian,17,289,9,0.031141868512110725,0.75,0.75,808.9584790988589,anisotropic_informed,anisotropic informed,2,0.75,0.48,0.0
exact clipped,0.10399915743305059,0.2509840641922917,1302.3172913701162,844.0784739391132,458.238817431003,0.36206896551724155,-0.1206896551724137,796.6612415241901,15.146832796686091,766.9734492426854,826.3490338056948,False,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,3,0.7,,0.0
discard saturated,0.03911951862597136,0.06775560962379733,1302.3172913701162,1164.37070386402,137.9465875060962,0.36206896551724155,-0.1206896551724137,1151.8985169845369,99.0121700469418,957.834663692531,1345.9623702765427,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,3,0.7,,0.0
censored Laplace,0.030730464335166775,0.03216560443774998,1302.3172913701162,1240.815536691467,61.50175467864915,0.36206896551724155,-0.1206896551724137,1240.815536691467,89.03745966720561,1066.302115743744,1415.32895763919,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,3,0.7,,0.0
censored sampled,0.031232650177757098,0.03321904943278017,1302.3172913701162,1247.591691760687,54.72559960942931,0.36206896551724155,-0.1206896551724137,1247.591691760687,85.12595193759468,1083.300048633804,1411.9572277520022,True,axis_gaussian,axis Gaussian,17,289,10,0.03460207612456748,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,3,0.7,,0.0
