kernel,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_mean,lengthscale_y_mean,angle_degrees_mean,kernel_label
isotropic_fixed,rotated_wake,rotated wake,oracle true,10,0.02498848571677381,0.0,0.03710853899986565,77.68321645490869,0.0,15.147353070786073,59.37762403748138,0.0,0.7,,0.0,isotropic fixed
isotropic_tuned,rotated_wake,rotated wake,exact clipped,10,0.1155042133917826,0.0018709771837263794,0.28371996549814205,629.2648099891329,4.325714645039884,11.64392388529087,45.6441816303402,0.0,0.9428834628067818,,0.0,isotropic tuned
isotropic_tuned,rotated_wake,rotated wake,discard saturated,10,0.1259060813027017,0.009114130229661115,0.3092183267117246,635.1369627200128,36.05545030608697,30.32939402900243,118.8912245936895,0.0,0.9428834628067818,,0.0,isotropic tuned
isotropic_tuned,rotated_wake,rotated wake,censored Laplace,10,0.09837529250062207,0.006355005326729402,0.23595472394878042,529.6244239653446,31.592311339131257,21.138096869021435,82.86133972656404,0.0,0.9428834628067818,,0.0,isotropic tuned
isotropic_tuned,rotated_wake,rotated wake,censored sampled,10,0.10029111528748662,0.008976787015394526,0.23966217168538825,533.7517671620681,40.47557079101126,19.259712714555917,71.12310194308108,0.0,0.9428834628067818,,0.0,isotropic tuned
isotropic_tuned,rotated_wake,rotated wake,oracle true,10,0.05321659665991239,0.006000443059460461,0.07941559899751237,184.97231321751823,24.11196736249751,11.64392388529087,45.64418163034029,0.0,0.9428834628067818,,0.0,isotropic tuned
anisotropic_tuned,rotated_wake,rotated wake,exact clipped,10,0.10949243965776012,0.0014267779625496044,0.2751139734170061,605.6020386386433,4.0466670184304085,10.321449426352604,40.460081751302184,0.0,1.75,0.675,35.0,anisotropic tuned
anisotropic_tuned,rotated_wake,rotated wake,discard saturated,10,0.09959462900214314,0.012783237577258477,0.24801680734724005,543.2781213644349,53.612723525540254,28.718711922230682,112.5773507351443,0.0,1.75,0.675,35.0,anisotropic tuned
anisotropic_tuned,rotated_wake,rotated wake,censored Laplace,10,0.07777661375759147,0.007398125685958199,0.19067130470483584,444.6010742459598,35.25191517309215,21.200531382292073,83.1060830185849,0.0,1.75,0.675,35.0,anisotropic tuned
anisotropic_tuned,rotated_wake,rotated wake,censored sampled,10,0.0793935104940094,0.010038420410545925,0.19388856066582486,449.97476902447835,45.84487171960979,19.480663880030942,78.49537959564564,0.0,1.75,0.675,35.0,anisotropic tuned
anisotropic_tuned,rotated_wake,rotated wake,oracle true,10,0.03365139381802992,0.007187967637003252,0.055554711166488815,163.06861654773292,29.35606754813684,10.321449426352604,40.460081751302184,0.0,1.75,0.675,35.0,anisotropic tuned
anisotropic_informed,rotated_wake,rotated wake,exact clipped,10,0.11628052800601632,0.0003798164041410967,0.290729843178393,636.3508308618714,4.7572319342414415,21.26836930808573,83.37200768769617,0.0,1.25,0.28,34.0,anisotropic informed
anisotropic_informed,rotated_wake,rotated wake,discard saturated,10,0.10429301925612085,0.018836936836046942,0.2559650591889986,558.3091824915325,83.45798662325424,190.49400854960922,746.7365135144682,0.0,1.25,0.28,34.0,anisotropic informed
anisotropic_informed,rotated_wake,rotated wake,censored Laplace,10,0.07172956897800362,0.007292090480324968,0.16657624677849653,404.4283834628359,56.49441196580947,100.34790361157886,393.3637821573891,0.0,1.25,0.28,34.0,anisotropic informed
anisotropic_informed,rotated_wake,rotated wake,censored sampled,10,0.06320356997215357,0.009963822848718183,0.1376254116475543,326.50063453542253,79.53515764095117,110.15316795589311,429.2431938951727,0.3,1.25,0.28,34.0,anisotropic informed
anisotropic_informed,rotated_wake,rotated wake,oracle true,10,0.0084897744403737,0.0,0.016341833079782292,34.65984786968875,0.0,21.26836930808573,83.37200768769617,1.0,1.25,0.28,34.0,anisotropic informed
isotropic_fixed,laser_path,moving-laser path,exact clipped,10,0.11242934097236697,0.000654735399872233,0.2896396153941193,668.7101680908382,5.083981915461073,15.150229227769325,59.38889857285585,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,laser_path,moving-laser path,discard saturated,10,0.1546595712786032,0.010686595582377249,0.40763667305264245,773.1375588152116,31.231927995329176,59.89573562141593,234.7912836359504,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,laser_path,moving-laser path,censored Laplace,10,0.1058273795519831,0.0013091367763212174,0.2691844696929258,616.0223926902702,12.518552620589535,27.338488482736768,107.16687485232816,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,laser_path,moving-laser path,censored sampled,10,0.11353413130453935,0.0034923736841654435,0.28788759970874456,644.7122907026862,26.037333356656337,32.7064968843362,119.02695857754057,0.0,0.7,,0.0,isotropic fixed
isotropic_fixed,laser_path,moving-laser path,oracle true,10,0.06519059487598279,0.0,0.12431023290290041,261.0843588109565,0.0,15.150229227769325,59.38889857285585,0.0,0.7,,0.0,isotropic fixed
isotropic_tuned,laser_path,moving-laser path,exact clipped,10,0.1367065634386642,0.01083068266224297,0.3477740182161821,758.8435367406398,37.929142359807784,9.36109363654113,36.69548705524119,0.0,1.2594041154768187,,0.0,isotropic tuned
isotropic_tuned,laser_path,moving-laser path,discard saturated,10,0.169313011521182,0.011061517838606217,0.4464052157250519,864.3266141448928,44.44486413263958,16.74786436603609,65.65162831486143,0.0,1.2594041154768187,,0.0,isotropic tuned
isotropic_tuned,laser_path,moving-laser path,censored Laplace,10,0.13584808840452617,0.011272815575203108,0.3447490678599303,752.99482986527,40.972935872953826,9.796500337996658,38.4022813249469,0.0,1.2594041154768187,,0.0,isotropic tuned
isotropic_tuned,laser_path,moving-laser path,censored sampled,10,0.15611341092333253,0.01481152224175905,0.4080828764759878,839.3381829690816,51.80855246148708,16.53004171255835,56.259697842230295,0.0,1.2594041154768187,,0.0,isotropic tuned
