shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,0,1.35,0.65,35.0,1495.404002151623,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.65,55.0,1512.8486476607009,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,-55.0,1473.2235967356273,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,-35.0,1460.7448385386497,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,-15.0,1448.078801390528,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,0.0,1443.6665750086836,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,15.0,1446.586667600045,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,35.0,1457.3014560792972,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.35,0.9,55.0,1471.5970557801143,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,-55.0,1768.9588642191711,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,-35.0,1769.9028509879167,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,-15.0,1725.4589618425753,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,0.0,1542.852473850785,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,15.0,1723.275261366604,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,35.0,1770.9648165284943,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.18,55.0,1763.0276633916546,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,-55.0,1708.669976578938,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,-35.0,1669.8243991504742,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,-15.0,1608.454841113395,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,0.0,1536.0644259027517,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,15.0,1615.0305907177312,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,35.0,1666.1127036933003,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.28,55.0,1712.9974547357674,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,-55.0,1616.51688869902,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,-35.0,1580.5956143462672,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,-15.0,1535.7570361569547,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,0.0,1512.8740819166237,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,15.0,1537.357426462307,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,35.0,1572.9223432496851,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.42,55.0,1619.1032760292646,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,-55.0,1538.8568862287798,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,-35.0,1501.5570335721204,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,-15.0,1470.111630772581,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,0.0,1460.130825964798,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,15.0,1467.7989471593514,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,35.0,1499.6869745956756,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.65,55.0,1537.5887787218935,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,-55.0,1496.377568506332,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,-35.0,1461.5916054291088,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,-15.0,1438.324802651643,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,0.0,1428.1628723005992,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,15.0,1435.3852789507196,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,35.0,1470.160526479142,anisotropic_tuned
axis_gaussian,axis Gaussian,0,1.75,0.9,55.0,1501.9045308124028,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,-55.0,1959.8234904665687,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,-35.0,1959.40060295776,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,-15.0,1916.614805904569,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,0.0,1841.29846267827,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,15.0,1916.6014739543525,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,35.0,1959.3768355378984,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.18,55.0,1959.8066721413143,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,-55.0,1900.275414276197,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,-35.0,1899.5689428380037,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,-15.0,1858.0773046603767,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,0.0,1830.028016881653,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,15.0,1858.004921461833,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,35.0,1899.534678086407,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.28,55.0,1900.3334939021534,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,-55.0,1793.594835869983,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,-35.0,1792.7790749600472,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,-15.0,1782.9332112602729,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,0.0,1779.3014861735269,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,15.0,1783.5936657673533,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,35.0,1793.562522647082,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.42,55.0,1794.536950209375,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,-55.0,1664.4160531001735,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,-35.0,1664.7002673317857,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,-15.0,1664.0421723767308,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,0.0,1663.812406420327,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,15.0,1664.3652352610065,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,35.0,1665.2741946439173,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.65,55.0,1665.005819983579,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,-55.0,1582.6339488805334,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,-35.0,1582.2017280598006,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,-15.0,1580.3027296608948,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,0.0,1579.5758036363081,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,15.0,1580.4429033824235,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,35.0,1580.6775428613528,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.55,0.9,55.0,1582.422615618049,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,-55.0,1914.0347482381426,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,-35.0,1913.4810944929386,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,-15.0,1858.1565174500734,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,0.0,1725.7101374810995,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,15.0,1858.0926590293616,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,35.0,1913.4609303558518,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.18,55.0,1913.996360329119,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,-55.0,1825.454951304439,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,-35.0,1825.160523059215,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,-15.0,1765.0814560666322,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,0.0,1717.276818548124,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,15.0,1765.0476993944326,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,35.0,1825.1993882405877,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.28,55.0,1826.1186161817213,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,-55.0,1705.658460661055,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,-35.0,1704.4365131775535,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,-15.0,1686.4947560439978,anisotropic_tuned
