representation,trajectory,family,run_index,n_observed_censored_pixels,n_latent_truth_above_ceiling,fraction_latent_truth_above_ceiling,false_saturation_fraction,fraction_posterior_mean_above_ceiling,mean_posterior_probability_above_ceiling,mean_true_exceedance_K,mean_predicted_exceedance_K,median_true_exceedance_K,median_predicted_exceedance_K,exceedance_recovery_fraction,calibration_slope,calibration_intercept_K,posterior_sd_slope_K_per_K,posterior_sd_intercept_K,pearson_correlation,spearman_correlation,posterior_sd_spearman_correlation,rmse_K,mae_K,bias_K,posterior_sd_K,coverage_95,interval_width_95_K,mean_abs_error_over_sd,median_abs_error_over_sd
coherent latent single-frame posterior,HorizontalScanPath_4,Horizontal,4,90,72,0.8,0.2,1.0,0.9322222222222222,2.6382934037348207,0.8030936573812121,1.2656799812597512,0.8387638894297993,0.3043989179688418,-0.005742649428319238,0.8182444514879078,-0.004338657182358719,0.5393549832965098,-0.10971600748222807,0.24313460672712078,0.1680815486526465,5.116860328462507,1.8152018997539883,-1.3146564314517952,0.5099500466136776,0.6333333333333333,1.8800172369497488,4.451345126925119,1.2378498177064428
hybrid saturated-only sampling,HorizontalScanPath_5,Horizontal,5,83,70,0.8433734939759037,0.1566265060240964,1.0,0.9242302543507362,2.6614776935502755,0.7121526072406409,1.294681736023847,0.6589313958053253,0.2675778981602756,-0.005179473463065032,0.7259376603269242,-0.002846348431461559,0.5000446338485366,-0.09693894331825814,-0.09852156416761439,-0.013244685504330328,5.186008022976323,1.981498903042539,-1.5187130898532955,0.48816280476961454,0.5903614457831325,1.798370328458864,4.740037039059035,1.3748277090991683
coherent latent single-frame posterior,HorizontalScanPath_5,Horizontal,5,83,70,0.8433734939759037,0.1566265060240964,1.0,0.9226238286479251,2.6614776935502755,0.7131996369903602,1.294681736023847,0.6644171936456473,0.2679712998229146,-0.00499778177766624,0.726501121708851,-0.0025814961561420307,0.5025981803725409,-0.09312916252812141,-0.1068148018546059,0.04291837984428308,5.184963645648337,1.9826113281667683,-1.5173918179362527,0.49141532129937826,0.6265060240963856,1.829881147009387,4.692338202277732,1.4033675002571562
hybrid saturated-only sampling,HorizontalScanPath_6,Horizontal,6,78,70,0.8974358974358975,0.10256410256410256,1.0,0.9106837606837609,2.6908103045143834,0.5820595651665875,1.3900932627817042,0.551355208955215,0.21631386062037292,0.022904133969914333,0.5204288854643642,0.006092443227788044,0.3546872302310857,0.4109494245795766,0.3549120811827487,0.12329629953634852,5.4339770815283295,2.0540222485962705,-1.8287600900771146,0.3733847390463966,0.5128205128205128,1.4234818393778674,5.064340090062362,1.7943381030339247
coherent latent single-frame posterior,HorizontalScanPath_6,Horizontal,6,78,70,0.8974358974358975,0.10256410256410256,1.0,0.9123931623931623,2.6908103045143834,0.5827514520822271,1.3900932627817042,0.5366884701538766,0.21657099019746676,0.02278509505682247,0.5214410835139892,0.005833402967986865,0.3567181947054077,0.40927566658388115,0.36243548245997725,0.12238649287026507,5.434172234221636,2.051346870969091,-1.8291839031406225,0.37316462327278954,0.5128205128205128,1.4270585659009594,5.078381800369952,1.8275378192978107
hybrid saturated-only sampling,HorizontalScanPath_7,Horizontal,7,81,76,0.9382716049382716,0.06172839506172839,1.0,0.9719478737997258,2.486350799363955,1.5564246009616483,1.231896277571252,1.5481818833517593,0.6259875321534695,0.024594246394635144,1.4952746767785925,0.014171801095519744,0.9061366886979976,0.21435340173202533,-0.06285714285714286,-0.039507860560492145,5.070401519652876,2.139312985186778,-0.7788653768561267,0.945057478897422,0.6666666666666666,3.2976978771615326,2.210047066187059,1.1825618536904996
coherent latent single-frame posterior,HorizontalScanPath_7,Horizontal,7,81,76,0.9382716049382716,0.06172839506172839,1.0,0.9702331961591221,2.486350799363955,1.5533010816261976,1.231896277571252,1.5559809369121353,0.6247312656056236,0.02462731589173256,1.492068935072599,0.01390304892906432,0.9057584746634988,0.21469317438472518,-0.061490088858509914,-0.03701982228298018,5.0707372790460985,2.138121591595946,-0.7816187267089276,0.9433706584090827,0.6419753086419753,3.2954685624632525,2.1992323047045157,1.1811581403583913
hybrid saturated-only sampling,HorizontalScanPath_8,Horizontal,8,83,74,0.891566265060241,0.10843373493975904,1.0,0.9777777777777777,2.5896627953751823,1.3551276792643059,1.2132317087454965,1.3297466653544916,0.5232834489820052,0.011943139611396673,1.3241989749527008,-0.0004934789077222694,0.6668350928064657,0.11850131895913067,0.3798148833765272,0.19786745649759344,4.979197478320558,1.984444912344575,-0.9159309458132219,0.6555363569796028,0.6265060240963856,2.407220092296567,3.246850442905057,1.4187234944171445
coherent latent single-frame posterior,HorizontalScanPath_8,Horizontal,8,83,74,0.891566265060241,0.10843373493975904,1.0,0.9798527443105757,2.5896627953751823,1.3587505542933167,1.2132317087454965,1.3264638581814268,0.5246824245688966,0.011597393492276037,1.328717215843044,-0.0004935067004305777,0.6662049423431333,0.11494702622224387,0.3734468715290633,0.20544983339503883,4.980457182203405,1.987673170310971,-0.9115771135549856,0.6560964999280655,0.6024096385542169,2.4116860947885486,3.259087774568252,1.418090749591343
hybrid saturated-only sampling,HorizontalScanPath_10,Horizontal,10,73,68,0.9315068493150684,0.0684931506849315,1.0,0.9601217656012176,2.9007821826439937,1.2307073284785748,1.5887188027907655,1.138386707383006,0.42426740478556524,0.006849480514673993,1.2108384774412415,0.0054093308038499835,0.8530131594525875,0.07893471844767082,0.29892735809443827,0.1791808222315532,5.504068306518821,2.1736624194621537,-1.4778017847807838,0.864687127154282,0.7123287671232876,2.917204113095145,2.6139013479721,1.138680974745311
