trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1609,-0.0017500000000000007,0.0015000000000000005,294.6560504149699,295.69305124481895,296.390561635376,0.6650046729161424,295.120998885618,297.6577800453599,1.0370008298490347,1.734511220406091,0.6975103905570563,0.6975103905570563,1.0488804349274292,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1610,-0.0015000000000000013,0.0015000000000000005,294.6560504149699,296.08614920055635,297.18673262677345,1.3911811965313041,295.34030846289846,299.7289614644739,1.4300987855864378,2.530682211803537,1.1005834262170993,1.1005834262170993,0.791114363075949,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1611,-0.0012500000000000011,0.0015000000000000005,294.6560504149699,295.860617205928,296.68319839000645,1.3012217777633295,294.9346641607086,299.1186837883773,1.204566790958097,2.0271479750365415,0.8225811840784445,0.8225811840784445,0.6321606340560788,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1612,-0.0010000000000000009,0.0015000000000000005,294.6560504149699,295.2993390910822,295.41805892827807,0.4627341086544448,294.75803179487565,296.46202371760893,0.6432886761122631,0.7620085133081602,0.11871983719589707,0.11871983719589707,0.2565616732708876,True,True,True,0.9888888888888889,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1613,-0.0007500000000000007,0.0015000000000000005,294.6560504149699,294.7271499054067,295.3080983227975,0.4261897545789218,294.5723346215604,296.1706672093981,0.07109949043677943,0.6520479078275798,0.5809484173908004,0.5809484173908004,1.3631214996352532,True,True,True,0.9277777777777778,0-0.5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1669,-0.002000000000000001,0.0017499999999999998,294.6560504149699,295.62001145932595,296.2409489681088,0.7830935878636998,294.73965922494585,297.3240713273763,0.96396104435604,1.5848985531388848,0.6209375087828448,0.6209375087828448,0.7929288636838145,True,True,True,0.9833333333333333,0.5-1 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1670,-0.0017500000000000007,0.0017499999999999998,294.6560504149699,296.7313978059596,296.605425028224,1.0098371532155594,294.98932489990676,298.27035400375775,2.075347390989691,1.949374613254065,-0.1259727777356261,0.1259727777356261,0.12474563580325708,True,True,True,0.9944444444444445,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1671,-0.0015000000000000013,0.0017499999999999998,294.6560504149699,297.04360951564314,296.9568938466195,1.1909983762542624,295.2193518684357,298.9367407322361,2.3875591006732293,2.3008434316495823,-0.08671566902364702,0.08671566902364702,0.07280922522864496,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1672,-0.0012500000000000011,0.0017499999999999998,294.6560504149699,296.73380664729206,296.7458011947915,0.8141469304883511,295.3633016097004,298.2273677130997,2.0777562323221446,2.0897507798215997,0.011994547499455166,0.011994547499455166,0.014732657030667003,True,True,True,1.0,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1673,-0.0010000000000000009,0.0017499999999999998,294.6560504149699,296.30523682938286,296.1380689135294,0.30406882312405387,295.5496833069543,296.74102005799926,1.6491864144129522,1.482018498559512,-0.16716791585344026,0.16716791585344026,0.5497699965946169,True,True,True,1.0,1-2 K
