trajectory,method,n_observations,n_saturated,threshold_K,excess_field_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,hot_region_95_interval_width_K,mean_95_interval_width_K,mean_crps_K,hot_region_crps_K,fixed_top_01_crps_K,prior_mean_field_rel_l2,prior_mean_peak_absolute_error_K,family,run_index,role,fraction_saturated,diffusivity_m2_s,cooling_rate_1_s,source_coupling,signal_sd_K,lengthscale_m,noise_sd_K,previous_posterior_seed,current_observation_seed,current_sampler_seed,previous_observations_reused_in_current_update,same_previous_posterior_for_pair,same_current_observations_for_pair,same_rbf_covariance_for_pair,displacement_x_m,displacement_y_m,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K
HorizontalScanPath_3,posterior physics mean + RBF,117,0,294.64317213251667,0.5759594825477532,314.00846851431186,304.33308074680156,9.675387767510301,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,12.303694807895356,11.451317864407143,0.726937627237549,1.3474357809695388,2.4491873237587454,0.5533349596283301,9.635842673363811,Horizontal,3,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,500041,100041,1000041,False,True,True,True,2.140918240217237e-05,5.0027292809629205e-06,2.198591347631685e-05,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.4498292697436965,2.108352308521746
HorizontalScanPath_3,advective posterior physics mean + RBF,117,0,294.64317213251667,0.5694469572826839,314.00846851431186,304.2065765526577,9.801891961654178,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,12.303694807895356,11.451317864407143,0.7259042679320686,1.3503007936628106,2.460937866545757,0.5471043540971005,9.760264196251626,Horizontal,3,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,500041,100041,1000041,False,True,True,True,2.140918240217237e-05,5.0027292809629205e-06,2.198591347631685e-05,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.4498292697436965,2.108352308521746
HorizontalScanPath_4,posterior physics mean + RBF,117,1,294.825260500259,0.5383674078213594,317.615531356997,304.74227043715274,12.873260919844256,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,12.285992227631937,11.454768922906574,0.7236507778437837,1.314076559529361,2.228175221834344,0.5208746468981701,12.891829517482051,Horizontal,4,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,550041,110041,1100041,False,True,True,True,-3.19346468606685e-05,7.152490148988524e-06,3.272582749827699e-05,unbiased_M_times_M_minus_1,90,0.03598560575769692,2.149644136871292,1.8164370527120122
HorizontalScanPath_4,advective posterior physics mean + RBF,117,1,294.825260500259,0.5373232414659606,317.615531356997,304.71276473849696,12.902766618500038,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,12.379390118957886,11.45964573935267,0.7228824636182118,1.3410544437447836,2.236292262805411,0.5124627369848048,12.913188006069333,Horizontal,4,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,550041,110041,1100041,False,True,True,True,-3.19346468606685e-05,7.152490148988524e-06,3.272582749827699e-05,unbiased_M_times_M_minus_1,90,0.03598560575769692,2.149644136871292,1.8164370527120122
HorizontalScanPath_5,posterior physics mean + RBF,117,2,295.0840552279015,0.548192456185376,316.22149177634935,303.1338261553076,13.087665621041765,3.4196267389658237,False,0.9984006397441023,0.9473684210526315,12.247834456431288,11.452015979559087,0.7283541461812506,1.4015411793229886,2.3319363653426346,0.5091541204919927,13.074337676391565,Horizontal,5,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,600041,120041,1200041,False,True,True,True,1.6262110830732356e-05,-3.7788479763144547e-06,1.6695386808909774e-05,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.2837726459313594,1.981498903042539
HorizontalScanPath_5,advective posterior physics mean + RBF,117,2,295.0840552279015,0.5401647635626429,316.22149177634935,303.171880617262,13.049611159087362,3.419626738963696,False,0.9984006397441023,0.9473684210526315,12.190066604945168,11.44658569985142,0.7272242797827059,1.37123863044178,2.3221120306384804,0.5034124786356765,13.03625553746042,Horizontal,5,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,600041,120041,1200041,False,True,True,True,1.6262110830732356e-05,-3.7788479763144547e-06,1.6695386808909774e-05,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.2837726459313594,1.981498903042539
HorizontalScanPath_6,posterior physics mean + RBF,117,2,295.31752139540873,0.497909663875697,314.4374668883787,306.00060853304944,8.436858355329264,3.4197917001248817,False,0.9984006397441023,0.9473684210526315,11.997228236281506,11.456169305648398,0.7281818637407746,1.3158924719786291,2.2677437119921886,0.4691607934838363,8.468904165555102,Horizontal,6,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,650041,130041,1300041,False,True,True,True,-2.143620928629522e-05,4.9767052577661015e-06,2.200633235658605e-05,unbiased_M_times_M_minus_1,78,0.031187524990004,2.42798065441825,2.0540222485962705
HorizontalScanPath_6,advective posterior physics mean + RBF,117,2,295.31752139540873,0.4864153849366438,314.4374668883787,305.82131717738844,8.616149710990271,3.419758252812759,False,0.998000799680128,0.9473684210526315,11.917100235341366,11.457143244719122,0.7271388331981345,1.3048253648954835,2.262590615665179,0.4621014159626217,8.64491460460681,Horizontal,6,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,650041,130041,1300041,False,True,True,True,-2.143620928629522e-05,4.9767052577661015e-06,2.200633235658605e-05,unbiased_M_times_M_minus_1,78,0.031187524990004,2.42798065441825,2.0540222485962705
HorizontalScanPath_7,posterior physics mean + RBF,117,2,295.52522559779794,0.487348422925375,318.1194882121125,307.49021851633785,10.629269695774667,3.4196267389764623,False,0.9984006397441023,0.9473684210526315,12.362427212154246,11.452406174456286,0.730980637967688,1.381170708332738,1.9444947099447256,0.42892727516144785,10.584234315505455,Horizontal,7,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,700041,140041,1400041,False,True,True,True,3.198350760894183e-05,7.145042594518692e-06,3.2771884179105815e-05,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.346534294838893,2.139312985186778
HorizontalScanPath_7,advective posterior physics mean + RBF,117,2,295.52522559779794,0.470861121300801,318.1194882121125,307.2432008767267,10.876287335385825,3.4196267389764623,False,0.9984006397441023,0.9473684210526315,12.243260681950028,11.445394975444948,0.7296565227588979,1.38107092302085,1.9348313375123576,0.41625761302368747,10.830576416042959,Horizontal,7,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,700041,140041,1400041,False,True,True,True,3.198350760894183e-05,7.145042594518692e-06,3.2771884179105815e-05,unbiased_M_times_M_minus_1,81,0.032387045181927226,2.346534294838893,2.139312985186778
HorizontalScanPath_8,posterior physics mean + RBF,117,2,295.71434881764065,0.4551811691448559,316.75154527615916,304.4693778605043,12.28216741565484,3.419626738972207,False,0.9988004798080767,0.9605263157894737,12.40822530264026,11.443163002139748,0.7273631607144273,1.304124448247307,1.9721839514895665,0.412757801811358,12.267689250041542,Horizontal,8,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,750041,150041,1500041,False,True,True,True,-1.6271506503598605e-05,-3.819303445342596e-06,1.6713736946124812e-05,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.3328248105326024,1.984444912344575
HorizontalScanPath_8,advective posterior physics mean + RBF,117,2,295.71434881764065,0.44899651502109417,316.75154527615916,304.4310638906506,12.320481385508572,3.419626738972207,False,0.9988004798080767,0.9605263157894737,12.304906657615378,11.438033631833102,0.7257213725307768,1.2897511918115199,1.950562362285828,0.4068160132563116,12.308107107201067,Horizontal,8,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,750041,150041,1500041,False,True,True,True,-1.6271506503598605e-05,-3.819303445342596e-06,1.6713736946124812e-05,unbiased_M_times_M_minus_1,83,0.03318672530987605,2.3328248105326024,1.984444912344575
HorizontalScanPath_10,posterior physics mean + RBF,117,2,296.06802208777685,0.42212030465382416,318.649993978916,306.42066765811717,12.229326320798805,3.419626738972207,False,0.9988004798080767,0.9605263157894737,12.096038952225616,11.43206353249601,0.7240585825346111,1.2792781848917065,1.985923008142632,0.39051929584731093,12.190902330082508,Horizontal,10,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,800041,160041,1600041,False,True,True,True,-3.203950652396663e-05,7.142752529568086e-06,3.282603984640778e-05,unbiased_M_times_M_minus_1,73,0.029188324670131948,2.7154174495621515,2.1736624194621537
HorizontalScanPath_10,advective posterior physics mean + RBF,117,2,296.06802208777685,0.4138838258378944,318.649993978916,306.41183844461534,12.238155534300631,3.419626738972207,False,0.9988004798080767,0.9605263157894737,12.12226207272698,11.431835541899922,0.7233678319040749,1.3142516118157361,2.0593074005457552,0.3818876329644192,12.2004530679759,Horizontal,10,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,800041,160041,1600041,False,True,True,True,-3.203950652396663e-05,7.142752529568086e-06,3.282603984640778e-05,unbiased_M_times_M_minus_1,73,0.029188324670131948,2.7154174495621515,2.1736624194621537
HorizontalScanPath_11,posterior physics mean + RBF,117,3,296.2091569703494,0.410610275068582,317.2636056084965,306.14099813771827,11.122607470778235,3.41979239185947,False,0.9988004798080767,0.9605263157894737,12.013414358847557,11.459107349590079,0.7279238311221977,1.3201218622228983,1.9184807519250848,0.36636603272881796,11.144660873718863,Horizontal,11,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,850041,170041,1700041,False,True,True,True,1.6285667069759237e-05,-3.837017894684023e-06,1.6731576680969602e-05,unbiased_M_times_M_minus_1,78,0.031187524990004,2.6094915770781015,2.035023466430805
HorizontalScanPath_11,advective posterior physics mean + RBF,117,3,296.2091569703494,0.3987670624304477,317.2636056084965,306.0913246165075,11.172280991988998,3.419762248870105,False,0.9984006397441023,0.9473684210526315,12.071551219743466,11.453709162234372,0.7259259375269633,1.3028813402518515,1.9569970907445724,0.3611261202307966,11.192034345564252,Horizontal,11,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,850041,170041,1700041,False,True,True,True,1.6285667069759237e-05,-3.837017894684023e-06,1.6731576680969602e-05,unbiased_M_times_M_minus_1,78,0.031187524990004,2.6094915770781015,2.035023466430805
HorizontalScanPath_12,posterior physics mean + RBF,117,3,296.3525815864646,0.4338799894430339,315.46455223645467,307.09968409101987,8.364868145434798,3.419786998664634,False,0.9984006397441023,0.9473684210526315,12.017914188071023,11.449586992563335,0.732167782141067,1.4359135089030346,2.3736678493939536,0.40573902991219557,8.394412085153192,Horizontal,12,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,900041,180041,1800041,False,True,True,True,-2.1493878839227553e-05,4.996994567129775e-06,2.2067097277605825e-05,unbiased_M_times_M_minus_1,86,0.03438624550179928,2.4265666660057685,2.09883200916295
HorizontalScanPath_12,advective posterior physics mean + RBF,117,3,296.3525815864646,0.43058104760490606,315.46455223645467,306.833845090567,8.63070714588764,3.4197498159628963,False,0.9984006397441023,0.9473684210526315,12.057806548479203,11.451610479757962,0.7315351490811842,1.4430973590933598,2.3873515988295533,0.39994677731665124,8.65935412241106,Horizontal,12,evaluation,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,900041,180041,1800041,False,True,True,True,-2.1493878839227553e-05,4.996994567129775e-06,2.2067097277605825e-05,unbiased_M_times_M_minus_1,86,0.03438624550179928,2.4265666660057685,2.09883200916295
HorizontalScanPath_13,posterior physics mean + RBF,117,1,296.4959614680289,0.4048916737198033,319.1296936365724,307.0770720332553,12.052621603317107,3.4196267389743347,False,0.9988004798080767,0.9605263157894737,11.728795819840434,11.453859183998253,0.7283784078067155,1.357691830475979,2.1668536860424137,0.3863569117777911,12.054976116039768,Horizontal,13,calibration,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,950041,190041,1900041,False,True,True,True,3.208881374868497e-05,7.142560950462208e-06,3.287412576371972e-05,unbiased_M_times_M_minus_1,77,0.03078768492602959,2.720531247724229,2.3781927259288977
HorizontalScanPath_13,advective posterior physics mean + RBF,117,1,296.4959614680289,0.3942331932210737,319.1296936365724,307.0122788963212,12.117414740251206,3.4196267389743347,False,0.9984006397441023,0.9473684210526315,11.742999994389816,11.454489336742386,0.7271327033615171,1.3583936172643492,2.1982372371524788,0.37623292125142294,12.116212821633155,Horizontal,13,calibration,0.03,3.6109129986233175e-06,12.422901570529978,0.17022272061337845,3.4305133895116966,0.0003125,0.5,950041,190041,1900041,False,True,True,True,3.208881374868497e-05,7.142560950462208e-06,3.287412576371972e-05,unbiased_M_times_M_minus_1,77,0.03078768492602959,2.720531247724229,2.3781927259288977
