region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.5345111158043881,0.19011780227619873,0.036901057435749514,0.6653069718259097,0.9940023990403839,2.5449195132112106,1.0,0.0,-0.060575169634966904,0.686062077549158,0.2794294391493992,0.1659975987464629,0.004798080767692923,0.21131615456198566,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.806703731261579,1.414938611420018,-0.5999034078609744,0.8952215134332182,0.8289473684210527,3.4079067888765198,1.0,0.0,0.6948560282327897,3.4362558118084605,1.6498003577024987,0.7191918620198408,0.13157894736842105,1.1848710823262396,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.808100642837937,3.2421420544466084,-2.536407899334954,0.945343367555046,0.56,3.579036166521848,1.0,0.0,2.8827880170618805,5.891959607804586,3.774569756683052,1.598215973668181,0.4,2.8302279321396004,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
overall,2501,0.5298083002674611,0.16785734671674363,0.03859731861825346,0.66544161916737,0.9932027189124351,2.547927319000189,1.0,0.0,-0.0628968113356804,0.6683013721138928,0.24373321423297267,0.14485301917613969,0.004798080767692923,0.2049387074614183,DiagonalScanPath_5,Diagonal,5,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.860160860826254,1.4901996878426413,-0.5750940537614925,0.9016693430778986,0.8289473684210527,3.4395327748895106,1.0,0.0,0.6630125346239752,3.486977173376711,1.7232302357102638,0.8230104670088088,0.14473684210526316,1.2294478699703486,DiagonalScanPath_5,Diagonal,5,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
top_1pct,25,4.869467384872211,3.2939064979495423,-2.5154247776810643,0.9568919713048359,0.56,3.630367724212249,1.0,0.0,2.808751239295573,5.934858378238767,3.79262795898717,1.6767061593771606,0.36,2.8720687225227475,DiagonalScanPath_5,Diagonal,5,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
overall,2501,0.5334608609778492,0.1902305262081646,0.03782113963472091,0.6653060145977295,0.9940023990403839,2.542733782637901,1.0,0.0,-0.061508392253194495,0.687395364868794,0.27958079614614284,0.16572871457200639,0.004398240703718513,0.2116311040681396,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
above_camera_ceiling,76,2.8003115241496035,1.4159162371335277,-0.5668901988346203,0.8949861685048855,0.8421052631578947,3.3391562750914416,1.0,0.0,0.6597578518544411,3.44557340848253,1.651399875536369,0.7018368888678174,0.13157894736842105,1.173625849949228,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
top_1pct,25,4.791057903602241,3.205991692708981,-2.4964348600553556,0.940568078650647,0.56,3.494142715675662,1.0,0.0,2.8413316000582234,5.904618792997769,3.745027583979277,1.5664222619745811,0.4,2.7917058871084084,DiagonalScanPath_5,Diagonal,5,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
overall,2501,0.5675808652772671,0.18889464865364028,0.0375642230976181,0.6726781228629045,0.9940023990403839,2.577870667328054,1.0,0.0,-0.06088243018467692,0.632301251396076,0.2635101199916769,0.14515825421804182,0.006397441023590564,0.21572868516132238,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
above_camera_ceiling,76,3.0437248311181677,1.697236649754994,-0.528696932983544,1.137209625732704,0.8026315789473685,4.31912033988947,1.0,0.0,0.6460416229673951,3.1574803329360184,1.6539745211053103,0.7785338560055446,0.21052631578947367,1.4160379987278826,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
top_1pct,25,5.201985292166451,3.8985921945733595,-2.7015323194882264,1.0937749898871238,0.4,4.153605320691898,1.0,0.0,2.939059405848101,5.417891792359597,3.870027465219017,2.513970235186071,0.64,3.383867248855365,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
overall,2501,0.5665864850072893,0.18902880013503648,0.039755162615048335,0.6677824825283009,0.9928028788484606,2.5581442684728963,1.0,0.0,-0.06342594696403116,0.6839890111985509,0.27073851511546787,0.1453696642737106,0.007197121151539384,0.2164936690685665,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,3.0377577110125302,1.704845210602442,-0.46175214473719967,0.9678585867866595,0.7763157894736842,3.6522119517522955,1.0,0.0,0.5918704790797056,3.4882522060825094,1.8860721699176177,0.9543258211789523,0.2236842105263158,1.418854679483941,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
top_1pct,25,5.179413415043111,3.84997207094485,-2.620128286357012,0.9667419797659629,0.32,3.6262786093884074,1.0,0.0,3.080121843478152,5.962812928577759,4.309863427171955,3.5253005740023178,0.68,3.397738199080507,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
overall,2501,0.557833372038919,0.16555769484832183,0.02901725044613468,0.6669574644035341,0.9916033586565374,2.5545964562029218,1.0,0.0,-0.052254528241239655,0.6652690956744755,0.23552739772023326,0.14217774663708213,0.007996801279488205,0.20870240256304748,DiagonalScanPath_6,Diagonal,6,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,3.0436985393938922,1.6254222017654987,-0.8626691847649285,0.9426131895889963,0.7631578947368421,3.5888296658445262,1.0,0.0,1.009801551788287,3.515580538495124,1.836699995484116,0.6668812111619329,0.23684210526315788,1.396368939782359,DiagonalScanPath_6,Diagonal,6,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
top_1pct,25,5.2442136945662865,3.9498685119157653,-2.868284259236166,0.9381434653955898,0.28,3.5138526856144017,1.0,0.0,3.3588292735585292,6.056672057985227,4.458400032826467,3.8060729452142885,0.72,3.5172913962854455,DiagonalScanPath_6,Diagonal,6,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
overall,2501,0.5701386200068211,0.18990338662354045,0.03864840930845239,0.6700356882802098,0.9924030387844862,2.5624285439677714,1.0,0.0,-0.061691122062805755,0.6841932769714564,0.2704079414511989,0.14515825426761408,0.007197121151539384,0.2170188531896331,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
above_camera_ceiling,76,3.059019875943526,1.7282762314374644,-0.5054433109016161,1.0360285453184903,0.7631578947368421,3.9164776393596195,1.0,0.0,0.6597913877451888,3.4897110085923853,1.8719785278055128,0.9525552589181202,0.2236842105263158,1.450008280791049,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
top_1pct,25,5.21611139613144,3.9106776588196728,-2.7108104250900533,1.011582905084975,0.28,3.8436729060487256,1.0,0.0,3.1872084914976195,5.969888511027982,4.317046113503792,3.6907081187657997,0.68,3.499699186582699,DiagonalScanPath_6,Diagonal,6,evaluation,Posterior-sample mixture sequential advective ST,Current sequential posterior
overall,2501,0.5887811920947632,0.19233366935909624,0.011590804265205977,0.6622633228241221,0.9908036785285885,2.525217610489524,1.0,0.0,-0.0290524679858078,0.7167900482847896,0.2786485047639718,0.14809503033476584,0.009196321471411436,0.2195795457240196,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
above_camera_ceiling,76,3.1763268326781544,1.8231633762527748,-1.2772056437471744,0.8046723921952111,0.6973684210526315,3.075438903781488,1.0,0.0,1.5235218868403932,3.710670204244596,2.1773530309648836,0.9904005661052214,0.3026315789473684,1.5520815567265998,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
top_1pct,25,5.455167759453442,4.40504217841697,-3.6448768449283535,0.8404653561082971,0.08,3.1593933860576637,1.0,0.0,4.302719565985259,6.3591753112446305,5.18431674637797,3.4990001086734246,0.92,3.943181559992793,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
overall,2501,0.5847382543303601,0.19245786790746813,0.013012504346017752,0.6611977710488672,0.989204318272691,2.5205999604620297,1.0,0.0,-0.028719038187644215,0.7449325181789652,0.28269018412117675,0.14794830632670847,0.009996001599360257,0.21939663827904324,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
above_camera_ceiling,76,3.1488134098966962,1.814047011013191,-1.236573729585591,0.7715945658488329,0.6710526315789473,2.9229004340206104,1.0,0.0,1.5574142164712337,3.8792618676414095,2.2791459531405107,1.081152811538261,0.3157894736842105,1.5408007219831694,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
top_1pct,25,5.401196660336738,4.351261953120809,-3.5745505070536208,0.7920835400028058,0.04,2.975623961802248,1.0,0.0,4.513494188290644,6.642122091278675,5.411103044597613,4.04956817608143,0.96,3.899786630255795,DiagonalScanPath_7,Diagonal,7,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
overall,2501,0.5925511901757883,0.17589137498365087,0.01030197725306645,0.6611280604984439,0.989204318272691,2.5215341643892715,1.0,0.0,-0.024800792560291107,0.749336590296594,0.25678696990016986,0.14391135451618733,0.010795681727309077,0.2154535441521936,DiagonalScanPath_7,Diagonal,7,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
