percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
0-10%,0.0,10.0,250,0.17051802761527396,0.12327866724064575,0.07635821144534953,0.6616272478864386,1.0,2.5306539878652474,1.0,0.0,-0.11367695427840369,0.2615703705963819,0.19054681483655278,0.12321235022599887,0.0,0.17295055656436825,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
10-20%,10.0,20.0,250,0.18638873221333266,0.1321914969236143,0.08891794971079184,0.6535630661916919,1.0,2.516283650921449,1.0,0.0,-0.13430914279040576,0.29138027717546705,0.20688810385442782,0.13025659413736518,0.0,0.17369699640392436,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
20-30%,20.0,30.0,250,0.18727134827770464,0.13475468942579436,0.05921544584761932,0.6522158504433232,1.0,2.501362025737262,1.0,0.0,-0.0801091528555377,0.30341636668574146,0.21558509908186468,0.13522650861689706,0.0,0.17500664567598376,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
30-40%,30.0,40.0,250,0.17202538287586522,0.12378062247046773,0.06249869803706815,0.6471916749868759,1.0,2.491253477543416,1.0,0.0,-0.09435607454162508,0.2815730994347145,0.19983004192628906,0.12510191572409785,0.0,0.1697949204096812,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
40-50%,40.0,50.0,250,0.20430034232269662,0.14450945424887915,0.11713429600733707,0.6629660156197937,1.0,2.550311582979274,1.0,0.0,-0.1811433337942135,0.319773214736371,0.22528920885060932,0.1538178099727392,0.0,0.18061715413499344,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
50-60%,50.0,60.0,251,0.188419502765399,0.1325971018945859,0.0915173627944502,0.658068964984591,1.0,2.5325138137973564,1.0,0.0,-0.14136553344272396,0.30243064107403844,0.20812587150573397,0.13108266072436547,0.0,0.1753573157394379,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
60-70%,60.0,70.0,250,0.18942511092223843,0.13107315736045916,0.1079407855433467,0.6558537893699145,1.0,2.491158445277654,1.0,0.0,-0.17400412709640836,0.3082515258824239,0.2106563650552054,0.1312860043246805,0.0,0.17517195195516871,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
70-80%,70.0,80.0,250,0.19450641467149912,0.13768647958661973,0.08161997439705351,0.6671625710430956,1.0,2.5521626964992774,1.0,0.0,-0.12165428909902619,0.2964783107396846,0.20973221466618616,0.14410562495097395,0.0,0.1778816713774367,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
80-90%,80.0,90.0,250,0.2497975014950088,0.19944270362167912,0.002019618149459575,0.6530926805445704,1.0,2.498125591106012,1.0,0.0,-0.007410740073949348,0.3883498484278149,0.31008825219343966,0.2715082936079322,0.0,0.18718270068686343,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
90-95%,90.0,95.0,125,0.26117355131217607,0.206977733165279,0.009728036767573485,0.6602253125012678,1.0,2.4826984235454193,1.0,0.0,-0.02001364324188736,0.39949291829013944,0.3162756549917218,0.25006458586492736,0.0,0.19609532033419907,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
95-99%,95.0,99.0,100,0.46199369978748495,0.3522290824833044,0.08224405885338343,0.7265630522599725,0.99,2.7963556272448273,1.0,0.0,-0.09440586088238524,0.6243165238890728,0.4817205381182798,0.40961397475398875,0.01,0.2721822476986814,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
99-100%,99.0,100.0,25,4.758452216919251,3.7252643243308445,-2.868467887586655,0.7984093897738027,0.24,3.0990905385182033,1.0,0.0,3.691275427753883,6.1034297856582125,4.7431031758105755,2.995009140784678,0.76,3.30150658196237,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential ST,Current sequential posterior
0-10%,0.0,10.0,250,0.17051862748418672,0.123278887372398,0.07635959400282581,0.6616272526594521,1.0,2.530654006749152,1.0,0.0,-0.11367909513089075,0.2615712411196036,0.1905470713306739,0.12321248234362406,0.0,0.1729506417358862,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
10-20%,10.0,20.0,250,0.18638870080970643,0.1321914722955205,0.08891792457638599,0.653563065778759,1.0,2.5162836493393987,1.0,0.0,-0.13430910715778038,0.2913802371634144,0.20688806926835535,0.13025658185005842,0.0,0.17369698799526648,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
20-30%,20.0,30.0,250,0.18727134864564118,0.13475468978650748,0.05921544572343987,0.6522158500136814,1.0,2.501362024114797,1.0,0.0,-0.08010915252441264,0.3034163679469455,0.21558509998762293,0.13522651019850968,0.0,0.17500664570069324,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
30-40%,30.0,40.0,250,0.17202538311892232,0.12378062273134902,0.062498697849694966,0.6471916745168623,1.0,2.491253475740581,1.0,0.0,-0.09435607427145846,0.2815731004277258,0.1998300426560698,0.1251019165735821,0.0,0.16979492038460253,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
40-50%,40.0,50.0,250,0.2043003425454011,0.14450945454239922,0.11713429610720437,0.6629660152617375,1.0,2.5503115815870423,1.0,0.0,-0.1811433341546143,0.31977321563227434,0.2252892095828471,0.15381781105082493,0.0,0.18061715413631602,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
50-60%,50.0,60.0,251,0.1884195057034517,0.13259710800664007,0.09151736994936507,0.658068964595284,1.0,2.532513812296949,1.0,0.0,-0.1413655442846168,0.302430646157525,0.20812588112560418,0.13108267086044184,0.0,0.17535731634463675,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
60-70%,60.0,70.0,250,0.18942545391245613,0.1310731318919152,0.10794222635151482,0.6558538092082538,1.0,2.4911585134352228,1.0,0.0,-0.17400611704255545,0.30825193000164103,0.21065632596769385,0.13128567453560586,0.0,0.1751720802722651,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
70-80%,70.0,80.0,250,0.19450708474194908,0.13766686201440553,0.08167761994512739,0.6671700195417153,1.0,2.5521904819857992,1.0,0.0,-0.12173689200965147,0.2964784272214396,0.20970292797520762,0.14343243775175513,0.0,0.17788455202793385,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
80-90%,80.0,90.0,250,0.24986790269660153,0.1995923023993405,0.002231739678282338,0.6534651363981016,1.0,2.4994655303691906,1.0,0.0,-0.007772783805467604,0.38835439336389793,0.3101725813302964,0.2729194665954257,0.0,0.18727839721916456,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
90-95%,90.0,95.0,125,0.2612484614219659,0.2070790970902258,0.009645532824715246,0.6616500195742084,1.0,2.488051034059993,1.0,0.0,-0.020327242671716345,0.3991486331339865,0.3159164709198338,0.2500643024744516,0.0,0.1964202003553871,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
95-99%,95.0,99.0,100,0.46110506698822534,0.35174485793866156,0.0780476434398787,0.703982018811356,0.99,2.7080729469411566,1.0,0.0,-0.10513826444217202,0.6440599600464685,0.4988415901902558,0.41950174695803794,0.01,0.27024901564775117,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
99-100%,99.0,100.0,25,4.758977251824033,3.7265361139470814,-2.8697914733396463,0.7621696488342958,0.24,2.957902356410054,1.0,0.0,3.8327217146666133,6.305763316627877,4.919738149928432,3.1530757142546624,0.8,3.3184447294328283,DiagonalScanPath_2,Diagonal,2,evaluation,Posterior physics mean + sequential advective ST,Current sequential posterior
0-10%,0.0,10.0,250,0.14919773361436411,0.11337702492401058,0.09089217512122787,0.661627252659444,1.0,2.5401498133584766,1.0,0.0,-0.1377515966776087,0.23243150278725255,0.175471776323319,0.12505145009076243,0.0,0.1686804418034672,DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
10-20%,10.0,20.0,250,0.1431311564121721,0.10889318478038626,0.07864828730233261,0.653563065778759,1.0,2.504509699115534,1.0,0.0,-0.11828630792627313,0.22867857107130238,0.17150394772102223,0.12332655166204734,0.0,0.16614847176210965,DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
20-30%,20.0,30.0,250,0.1549071512445548,0.12218022694108549,0.051022626953179044,0.6522158500136814,1.0,2.494864700663362,1.0,0.0,-0.06690560179024597,0.25881445080716414,0.19680843040629611,0.1496903152449982,0.0,0.16584210304538793,DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
30-40%,30.0,40.0,250,0.14113569656581967,0.10314307684076311,0.051724100880523566,0.6471916745168623,1.0,2.4748444781024492,1.0,0.0,-0.07553083015985332,0.23478151514675086,0.16691628182069934,0.10792053163960758,0.0,0.16364571973253947,DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
40-50%,40.0,50.0,250,0.18149613502270398,0.13941841078282186,0.11235316062331639,0.6629660152617375,1.0,2.5407824054806434,1.0,0.0,-0.17278271338794238,0.28850017995173644,0.21700331216548596,0.16956773357078098,0.0,0.17557577315328013,DiagonalScanPath_2,Diagonal,2,evaluation,Advective posterior mean + sequential advective ST,Current sequential posterior
