method,percentile_bin,percentile_lower,percentile_upper,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Advective posterior mean + sequential advective ST,99-100%,99.0,100.0,4.44953873998246,0.3860282268081601,3.3541451870967007,0.44380052318727886,-2.8105865710660276,0.4260412530986298,0.8718739265191005,0.10744789757963244,0.3333333333333333,0.17175229423420416,3.325679548741744,0.4016477040290019,1.0,0.0,0.0,0.0,3.3639721268485885,0.7362921354181579,5.237062806750514,0.8198052035987705,3.9855026435990983,0.8236646937485715,2.799861387896013,0.8086767017777805,0.664,0.17752318935457617,2.9330911774763258,0.4435894224203006,30
Posterior-sample mixture sequential advective ST,0-10%,0.0,10.0,0.18303913188217807,0.013743583909294598,0.1264455229086445,0.010329606607215106,0.06639734476007923,0.02108587315104563,0.660031777463148,0.005480161689049019,1.0,0.0,2.5198814482554908,0.022927906066144327,1.0,0.0,0.0,0.0,-0.09888742220642555,0.034502815677696336,0.2888136917054736,0.023301602603775826,0.19810170356051376,0.016938781610851654,0.11899325972575157,0.018290563575528503,0.0,0.0,0.174434179227415,0.0032584063859083176,30
Posterior-sample mixture sequential advective ST,10-20%,10.0,20.0,0.1814345369092517,0.015440929761144919,0.12425630493935999,0.01166664247633677,0.07171738300506988,0.019940537352946465,0.656256679616426,0.00394853164954336,0.9998666666666666,0.0007302967433402196,2.5105286161241027,0.018900561666942053,1.0,0.0,0.0,0.0,-0.10784864509597868,0.031895702861183074,0.2879227802214724,0.024587178850888677,0.19594514075369035,0.01851575001728102,0.11425614052889548,0.016730142417460292,0.0,0.0,0.17318402498524554,0.003663265438090891,30
Posterior-sample mixture sequential advective ST,20-30%,20.0,30.0,0.18432794666544208,0.011771343931085127,0.12757752203424028,0.010022879362321248,0.07608104473617129,0.01905730628790124,0.6517389221476588,0.005254090649509882,1.0,0.0,2.4927160207349033,0.022587739534127644,1.0,0.0,0.0,0.0,-0.11573922683251323,0.032262554571715715,0.2933988339928146,0.0206731245025115,0.20258652457571572,0.016714945280351754,0.12260359613362734,0.018922853735822684,0.0,0.0,0.17267946899101333,0.002795448350508976,30
Posterior-sample mixture sequential advective ST,30-40%,30.0,40.0,0.18034624820350734,0.01485151917796797,0.12440518576338265,0.010745100579361618,0.06422339667490823,0.018489401214005326,0.6533142697863618,0.00427563806905017,0.9998666666666666,0.0007302967433402236,2.494587753361264,0.01934934247476079,1.0,0.0,0.0,0.0,-0.09582037493625432,0.03014233587222533,0.2890143960167876,0.02557418685479126,0.19762822253211534,0.017656094560560904,0.11914462336628755,0.016952386260356243,0.0,0.0,0.17269411004193425,0.00379133435278527,30
Posterior-sample mixture sequential advective ST,40-50%,40.0,50.0,0.183806766975634,0.018390633557274553,0.12629450947292917,0.01432324916528759,0.0750617502035103,0.02300117746592506,0.6571550705393678,0.005505745973982723,1.0,0.0,2.5172970444628295,0.02382463191809967,1.0,0.0,0.0,0.0,-0.11347969322659894,0.03727967210618877,0.2911549500710225,0.030215669166946384,0.1986652080307495,0.02269865566488949,0.11761745061913101,0.02391373662876428,0.0,0.0,0.17423962800514767,0.0041444965920155365,30
Posterior-sample mixture sequential advective ST,50-60%,50.0,60.0,0.1812905543502832,0.012939960208311476,0.12364137787483956,0.011424293336045515,0.07529042435770533,0.018197136781762602,0.6570270300425184,0.004152883048312781,1.0,0.0,2.513949039916518,0.02161343056968214,1.0,0.0,0.0,0.0,-0.11386478290697409,0.03020675044074229,0.28710820455770947,0.0234365216104401,0.19438230785704383,0.019090154404727708,0.11403523617006608,0.018091435276374884,0.0,0.0,0.1733970572714774,0.0030953687007279295,30
Posterior-sample mixture sequential advective ST,60-70%,60.0,70.0,0.18691824658017206,0.013808468178674179,0.1287696086340719,0.010919970946253467,0.07477506243638007,0.019092601940312377,0.6610988310998032,0.0031583676736443994,1.0,0.0,2.526060667560969,0.018006289628153486,1.0,0.0,0.0,0.0,-0.1126267695815698,0.031554860693199877,0.29276736048647706,0.022902366308423686,0.20082913935756802,0.017447570448618253,0.12169678919330239,0.015402794875967204,0.0,0.0,0.1754656104317976,0.0030507113559703055,30
Posterior-sample mixture sequential advective ST,70-80%,70.0,80.0,0.19596993152516182,0.018094384254683793,0.14526012127265625,0.018478496632828204,0.05215182990394159,0.023137522256195437,0.6620670652131649,0.004474638901184824,1.0,0.0,2.536880209537407,0.02119332217271372,1.0,0.0,0.0,0.0,-0.07820304228572333,0.03627277996740863,0.30550833022907603,0.028924870547646125,0.22446922230086813,0.027754567599898514,0.1608496597663823,0.041005538967028785,0.0,0.0,0.17806692328143914,0.0044870730027432035,30
Posterior-sample mixture sequential advective ST,80-90%,80.0,90.0,0.24416184824375559,0.027482493778583295,0.19276571044724422,0.025392766068699394,0.01168103163971313,0.025692600535435355,0.6528852043076144,0.0030285099298745866,1.0,0.0,2.4969951762974434,0.013562395400353363,1.0,0.0,0.0,0.0,-0.01715293082718271,0.04065813159142917,0.3836170356743224,0.04206595583711051,0.30010666037181327,0.038724478660041764,0.2452038321851604,0.04318883743296738,0.0,0.0,0.18869587901810309,0.0074659053540161655,30
