method,family,region,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Advective posterior mean + sequential advective ST,Horizontal,top_1pct,4.269461733631002,0.2767896530730651,3.0051088478906838,0.31852787532260723,-2.980226880701247,0.33071863563221054,0.9036033650201013,0.0935333359859302,0.45454545454545453,0.14995756975649058,3.4495853967468304,0.3611719098026607,1.0,0.0,0.0,0.0,3.4230755887195343,0.6619918039196004,4.881715612259745,0.7242759938544111,3.4450630310820713,0.6469833364150334,2.154238229767559,0.5374380416554302,0.5490909090909091,0.16306161690934784,2.577777347622536,0.3263183467890162,11
Posterior-sample mixture sequential advective ST,Horizontal,overall,0.4847963266686237,0.018452311992361477,0.18386675270802114,0.006873799367419193,0.034614152285690154,0.012321073354371699,0.6640510648281449,0.0026822306060299123,0.9937843044600342,0.0015929864635084254,2.537834461612278,0.00876691182334298,1.0,0.0,0.0,0.0,-0.05936013182929929,0.017321654836430982,0.5941864605456718,0.05186031762016319,0.26919150155647814,0.010883089831781012,0.1588583443070013,0.009350832076113185,0.0060339500563411,0.001887774861897217,0.20790102661665397,0.0035226018598071424,11
Posterior-sample mixture sequential advective ST,Horizontal,above_camera_ceiling,2.5053519054513553,0.1314952788328382,1.358843091319556,0.10432246783695386,-0.842884168921125,0.24953922624068245,0.8651277893408028,0.08260362317101021,0.8086124401913876,0.058063043742146055,3.2835776325824098,0.29395147084460027,1.0,0.0,0.0,0.0,0.9877867364638881,0.34505441555599436,2.857340347353416,0.3645080813730686,1.5626356383515334,0.20164568204927272,0.7957564246428106,0.14057221411519916,0.1901913875598086,0.0664085703206843,1.1069037759442426,0.09227295883439271,11
Posterior-sample mixture sequential advective ST,Horizontal,top_1pct,4.240475714985923,0.28036399475382184,2.9724270689321433,0.31604394379039996,-2.943358998668764,0.33417186998938003,0.9075024747716219,0.10220012962403245,0.46545454545454545,0.1709013537900526,3.4573084506589358,0.3711832447617975,1.0,0.0,0.0,0.0,3.3697759617823007,0.6361178562870758,4.832099120638142,0.6908417308160163,3.3971499040249795,0.6228991668471109,2.0982733137116907,0.501069725147646,0.5381818181818182,0.1700481215314172,2.5519124572039797,0.3212140521698197,11
Posterior physics mean + sequential ST,Spiral,overall,0.4784642310132891,0.018349203557388567,0.1791183478215511,0.00939485626096515,0.03867043481937246,0.009947804753788888,0.6642691150649066,0.003219272652760941,0.9928361988537918,0.0011990152370736974,2.5410769198343517,0.01370827257398931,1.0,0.0,0.0,0.0,-0.06255876366313297,0.013316217899592182,0.5905009382411701,0.06450650230218204,0.2612972506374813,0.015333059945081481,0.1455744656958907,0.016768148924771534,0.006997201119552179,0.0012470442221953722,0.20899676189367092,0.0031978988996687204,12
Posterior physics mean + sequential ST,Spiral,above_camera_ceiling,2.4896767412540597,0.11541847227713269,1.4423191819781465,0.08478679662109183,-0.6506735616312375,0.31077339368864254,0.856775842492718,0.09536582933566633,0.7708333333333334,0.04362476980553493,3.2883846600453457,0.37491015087674995,1.0,0.0,0.0,0.0,0.7863047775042667,0.44251337177050515,2.879130358010629,0.4329739304566747,1.6798806137655022,0.22096020609888764,0.7508309547266981,0.12342104061966039,0.22587719298245612,0.046548368484608194,1.2030983294011917,0.07400226735203315,12
Posterior physics mean + sequential ST,Spiral,top_1pct,4.222602033566749,0.25413056503954373,3.30872140584594,0.3308316368343186,-2.49476579999359,0.42087382387975164,0.9061244182955095,0.13942038352047376,0.33666666666666667,0.13799429061531585,3.4681370862200858,0.5423601898472331,1.0,0.0,0.0,0.0,2.902725296184798,0.8236054096612029,4.890172685858752,0.8001305974790967,3.8602369112225703,0.7692807728523029,2.8049085757189105,0.65397534264162,0.66,0.14116399231841217,2.8911835399058945,0.31919598858355247,12
Posterior physics mean + sequential advective ST,Spiral,overall,0.47881550924129757,0.017944390801686267,0.17913672388045007,0.009324347161595643,0.03850689050355543,0.009562270956311396,0.6623959714492322,0.0025433117206954355,0.9917033186725309,0.001170390115013785,2.533972265925974,0.011175121259902575,1.0,0.0,0.0,0.0,-0.062199788688866435,0.01427827143914462,0.6153228911735428,0.05890284176674883,0.26511074426640785,0.015141486508123662,0.14557688316509862,0.0168735450381505,0.007963481274157004,0.001149507258548448,0.20938936446356723,0.0033498354505720664,12
Posterior physics mean + sequential advective ST,Spiral,above_camera_ceiling,2.491867814442405,0.11063330792108075,1.4403580806744847,0.07934398134796006,-0.6554166595478637,0.29537193414858287,0.7960560559162976,0.07181737256792178,0.7478070175438596,0.03496289599511625,3.052903328241351,0.2923951196331743,1.0,0.0,0.0,0.0,0.8204994460390919,0.4537211194159344,3.0346140717606267,0.39934615869684364,1.784322966524223,0.20626625244615115,0.7993578683846528,0.15030300937284546,0.25,0.037636681154431285,1.2079929358711152,0.07080459128106065,12
Posterior physics mean + sequential advective ST,Spiral,top_1pct,4.231093067369813,0.23630624593052574,3.3144239883775684,0.29921520370930926,-2.5012534206169947,0.3984637352249974,0.8365045607375053,0.1095389527704176,0.3,0.11377809343390557,3.217475274765508,0.44590607134189825,1.0,0.0,0.0,0.0,3.0867765640482667,0.7957848133743647,5.139402065370885,0.7547404777908971,4.070887534424709,0.7320863347790914,2.9772110751109615,0.6273038180948137,0.69,0.11832159566199232,2.9130061381504553,0.2958051842102716,12
Advective posterior mean + sequential advective ST,Spiral,overall,0.4821086592288844,0.018415710823494358,0.16677457576431684,0.009998852157643442,0.03498967884214113,0.006891117972443013,0.6622760049007602,0.0025535021298392175,0.9906037584966013,0.0012235129715173435,2.5333442691550077,0.01089677171459338,1.0,0.0,0.0,0.0,-0.05716250806551057,0.009787622473074273,0.6146476060181784,0.058979656504561134,0.2449146121753717,0.016058039231265933,0.1390726408540762,0.011302564501120249,0.009063041450086632,0.0015281038061465625,0.2066227890341056,0.0037274586611309416,12
Advective posterior mean + sequential advective ST,Spiral,above_camera_ceiling,2.572286213189303,0.1122116937005532,1.5366781677915728,0.06986297631978229,-0.8766932088728839,0.25221530411783916,0.7929702868591604,0.07275535407470063,0.7039473684210527,0.046773241138797,3.0389751793281032,0.2789430107744342,1.0,0.0,0.0,0.0,1.120031386211824,0.3887962503126363,3.1557399604734244,0.38818125780291357,1.921675357824779,0.20373645234187399,0.9129384848063022,0.13213538971265815,0.29276315789473684,0.05529305411434028,1.2952243803182002,0.07467785461509802,12
Advective posterior mean + sequential advective ST,Spiral,top_1pct,4.346845601342108,0.22826763573617617,3.4993623913469065,0.29293712609423905,-2.6934280800723083,0.37790143940188936,0.8301423728283529,0.10681064190627142,0.22666666666666668,0.11734435209969403,3.1822782493223873,0.4128175661227936,1.0,0.0,0.0,0.0,3.354823598848741,0.7524343399967817,5.312725386319911,0.7150331825941602,4.334625080057935,0.7003653763488393,3.3283348396982326,0.46729918826653105,0.77,0.11457431093955017,3.0850332162025484,0.2803955738177281,12
Posterior-sample mixture sequential advective ST,Spiral,overall,0.4793708102014209,0.018294935188756984,0.1792130721675491,0.009450956113366061,0.038316683384687515,0.009882346353862119,0.6627453980236381,0.002705874552848574,0.9919365587098494,0.0010347262698158855,2.535200648426255,0.01129255922087144,1.0,0.0,0.0,0.0,-0.062083647986622394,0.014721953570172454,0.6115734944740047,0.062084794430474696,0.26462523811955346,0.01586374472057943,0.14554069307283957,0.016947770765836288,0.007896841263494603,0.0009511732840049093,0.20949632450379593,0.0031539238724881836,12
Posterior-sample mixture sequential advective ST,Spiral,above_camera_ceiling,2.4958463050460424,0.11284612078125343,1.4432751117603513,0.08002297101114607,-0.6605529341007166,0.29766548257383074,0.8058809861422076,0.07565608918379209,0.75,0.03021371038352893,3.072934010743637,0.28254640957601257,1.0,0.0,0.0,0.0,0.8225335767159055,0.4565845414667932,3.0109211642366396,0.4131087124245873,1.7702196114788082,0.2085227361568178,0.7834883264262209,0.1436749357565842,0.24671052631578946,0.03464256090328849,1.2109798525723987,0.06917940060630112,12
Posterior-sample mixture sequential advective ST,Spiral,top_1pct,4.237679988008801,0.2428999029632163,3.320565702605873,0.3101206652253415,-2.5109572720665922,0.4015337389352914,0.8454992484268128,0.1123404841829477,0.31666666666666665,0.09865765724632494,3.2326561312198963,0.4287505552127297,1.0,0.0,0.0,0.0,3.0710528340178436,0.809374207138665,5.100218123445782,0.7790445262169895,4.041815353863911,0.748407321036351,2.998844844235467,0.6658005071026672,0.6833333333333335,0.11625468384177695,2.917788526396503,0.29684552441520135,12
