trajectory,family,run_index,role,method,field_excess_rel_l2,overall_rmse_K,overall_mae_K,overall_signed_error_K,overall_crps_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,peak_absolute_error_K,mean_posterior_sd_K
HorizontalScanPath_8,Horizontal,8,evaluation,Posterior-sample mixture sequential advective ST,0.418285825063584,0.46163329930821284,0.1861530345580162,0.0578582781124367,0.20763221426104536,3.837196387510921,2.5393629456669533,-2.509970163912176,2.1283502662330314,0.68,3.7688214617780407,12.222249470485849,0.6673170808643911
HorizontalScanPath_10,Horizontal,10,evaluation,Posterior physics mean + sequential ST,0.3931018970555312,0.4668234244350661,0.18564917822773291,0.02839610631464629,0.20342115221131893,3.9916273185525943,2.65759123877305,-2.65759123877305,2.162862096177889,0.64,4.103543884812027,12.152004029579643,0.6684281369814875
HorizontalScanPath_10,Horizontal,10,evaluation,Posterior physics mean + sequential advective ST,0.3924697352137855,0.46607270825187946,0.18561223000180815,0.029158928364428155,0.2034519155396055,3.9762591407518846,2.6347300034589964,-2.6347300034589964,2.1456214228556245,0.64,4.0464969833434905,12.128777878195592,0.667998446062625
HorizontalScanPath_10,Horizontal,10,evaluation,Advective posterior mean + sequential advective ST,0.38272962389009174,0.4545059563319233,0.16869879114085004,0.028728225736455972,0.19861629046302615,3.9868831967203335,2.6520974514809974,-2.6520974514809974,2.1466036295066324,0.68,4.123900154157561,12.124880675147494,0.6680858192698724
HorizontalScanPath_10,Horizontal,10,evaluation,Posterior-sample mixture sequential advective ST,0.3926221766304006,0.4662537382206052,0.18557301512732086,0.029005302044673626,0.20428963797287453,3.9796938521184644,2.6436196185508036,-2.6436196185508036,2.12953268259705,0.76,4.30501364779831,12.13847904387751,0.6699237408905278
HorizontalScanPath_11,Horizontal,11,evaluation,Posterior physics mean + sequential ST,0.3727652092113967,0.45414660227146725,0.1794104020691893,0.04385499515898912,0.20616918696926612,3.8375962468302207,2.653265809282914,-2.5958745827244023,2.234882924399494,0.52,3.3699124726881835,11.094117355573701,0.6637333475911794
HorizontalScanPath_11,Horizontal,11,evaluation,Posterior physics mean + sequential advective ST,0.37209748255939434,0.45333309880397765,0.17905857920777743,0.043233308758486716,0.20578646367286765,3.836654799028029,2.6559318790886848,-2.600277656040571,2.2480249722511676,0.48,3.2931654937652297,11.08610662007652,0.6635078703024426
HorizontalScanPath_11,Horizontal,11,evaluation,Advective posterior mean + sequential advective ST,0.36722969782428155,0.44740258854333076,0.1694067909539945,0.04063739701609893,0.20292676742541627,3.845764272323585,2.6627213933924234,-2.6090728410254065,2.257276468588921,0.48,3.3752564843012216,11.13972926490959,0.6636191602191995
HorizontalScanPath_11,Horizontal,11,evaluation,Posterior-sample mixture sequential advective ST,0.3731142478020043,0.4545718423047886,0.1794910888340283,0.04381929387811504,0.20641108937152353,3.843178748141544,2.658433305030187,-2.600300213658627,2.2473910024354913,0.56,3.4069326628080603,11.119487374396954,0.6637306972448088
HorizontalScanPath_12,Horizontal,12,evaluation,Posterior physics mean + sequential ST,0.40428329988091843,0.507950841942241,0.19634872053423297,0.020740152481381505,0.21485199495412133,4.492643334479692,3.4954949142532814,-3.4954949142532814,3.054126664289373,0.2,3.05346344591552,8.26418123426339,0.6611071449134793
HorizontalScanPath_12,Horizontal,12,evaluation,Posterior physics mean + sequential advective ST,0.40461258387733706,0.5083645619333171,0.1962975008985701,0.02045278842194189,0.21488987716610358,4.498838884622249,3.502239257077126,-3.502239257077126,3.06396986575243,0.2,3.020363922987649,8.282672346044535,0.6607933187333425
HorizontalScanPath_12,Horizontal,12,evaluation,Advective posterior mean + sequential advective ST,0.39878311891338675,0.5010402879962449,0.1855388974766251,0.019761080602218956,0.2100364364389972,4.504834150492186,3.509918051619434,-3.509918051619434,3.0607704631027484,0.24,3.059278255157983,8.538986115279101,0.6609071109626335
