n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,stage,region
25,8.939210795251494,4.670886529909954,-4.648013176120016,0.6763395732067154,0.36,2.4328226641738957,1.0,0.0,7.683611225653284,15.23375772176259,7.707602530797029,2.4656768681256636,0.72,4.349109052312916,HorizontalScanPath_8,Horizontal,8,evaluation,Previous censored representation,top_1pct
25,3.8256426792064313,2.5246387149889573,-2.4948931394028273,0.9611817973006876,0.72,3.7169273901358384,1.0,0.0,2.6643604687128675,4.149535975118818,2.68997799117127,1.5035305154837413,0.32,2.1010431746809735,HorizontalScanPath_8,Horizontal,8,evaluation,Current sequential advective ST,top_1pct
25,9.324039832877567,4.956289677710333,-4.956289677710333,0.8842309649858655,0.32,3.048748230687963,1.0,0.0,5.9161952138098775,11.83495949826734,5.9161952138098775,2.8535200872223543,0.68,4.5045638367196466,HorizontalScanPath_10,Horizontal,10,evaluation,Previous censored representation,top_1pct
25,3.9762591407518846,2.6347300034589964,-2.6347300034589964,1.0693906354816043,0.64,4.0464969833434905,1.0,0.0,2.4517633187036108,3.7653906694935273,2.4517633187036108,1.3441429676694767,0.28,2.145621422855614,HorizontalScanPath_10,Horizontal,10,evaluation,Current sequential advective ST,top_1pct
25,8.738562703081362,4.8373034268021184,-4.805222403655562,0.5303315264804621,0.2,1.9726642735614723,1.0,0.0,8.84473152926197,14.843030918684601,8.880620685356254,4.507588693552528,0.76,4.5654872921623335,HorizontalScanPath_11,Horizontal,11,evaluation,Previous censored representation,top_1pct
25,3.836654799028029,2.6559318790886848,-2.600277656040571,0.8736674428696719,0.48,3.2931654937652297,1.0,0.0,2.9936949201610643,4.335263553510786,3.0446222962651013,1.982922721199243,0.52,2.248024972251165,HorizontalScanPath_11,Horizontal,11,evaluation,Current sequential advective ST,top_1pct
25,9.640771745402471,5.785314533439411,-5.785314533439411,0.37769637131532113,0.0,1.5341673070040587,1.0,0.0,13.810469800058353,20.28584279246967,13.810469800058353,8.897521660961468,1.0,5.57941992647123,HorizontalScanPath_12,Horizontal,12,evaluation,Previous censored representation,top_1pct
25,4.498838884622249,3.502239257077126,-3.502239257077126,0.7898563569438672,0.2,3.020363922987649,1.0,0.0,4.3739668142387655,5.531449672740288,4.3739668142387655,2.9936263746460767,0.8,3.063969865752432,HorizontalScanPath_12,Horizontal,12,evaluation,Current sequential advective ST,top_1pct
25,9.44671125927816,5.015511472052253,-4.977241440136677,0.8785534849600399,0.32,2.979108215237991,1.0,0.0,8.679474840862161,20.10318373115235,8.700528333641723,2.757947979013041,0.68,4.689921988302388,HorizontalScanPath_13,Horizontal,13,development,Previous censored representation,top_1pct
25,4.361103034684156,3.128410338475446,-3.128410338475446,1.0129906788593155,0.44,3.8693417645587056,1.0,0.0,3.350700596027301,4.885922702089723,3.350700596027301,2.201186927863201,0.56,2.6590100972690185,HorizontalScanPath_13,Horizontal,13,development,Current sequential advective ST,top_1pct
25,8.901431556003134,5.318486895719247,-5.316279537109876,0.8058286074233705,0.32,2.815377233488998,1.0,0.0,7.496305363755337,11.964760266227758,7.498259138173986,5.443590074594846,0.68,5.014795780604003,SpiralScanPath_1,Spiral,1,evaluation,Previous censored representation,top_1pct
25,4.044548352071216,3.139726890530337,-2.2032079263991453,0.9024682847810384,0.32,3.5013860602021714,1.0,0.0,2.533168131224082,4.421467641108256,3.491414498824447,3.1150248550161925,0.68,2.7530839841642143,SpiralScanPath_1,Spiral,1,evaluation,Current sequential advective ST,top_1pct
25,9.59729859293653,6.039796101877794,-6.039796101877794,0.2973080191201658,0.0,1.1446343082719523,1.0,0.0,20.108383810643673,31.15889116408861,20.108383810643673,10.276877290060996,1.0,5.87249152364825,SpiralScanPath_2,Spiral,2,evaluation,Previous censored representation,top_1pct
25,4.402880579483699,3.6143299429579203,-2.997928230403677,0.721133802375971,0.12,2.7851730788095437,1.0,0.0,4.12780053970457,5.9750414680767525,4.961088815148898,3.472396252589241,0.88,3.2381149935572413,SpiralScanPath_2,Spiral,2,evaluation,Current sequential advective ST,top_1pct
25,9.736451094867045,5.961842546390949,-5.961842546390949,0.2724365261700874,0.0,1.0468572866903378,1.0,0.0,21.93052272769276,36.34778484531742,21.93052272769276,13.906506928508795,1.0,5.807803902629943,SpiralScanPath_3,Spiral,3,evaluation,Previous censored representation,top_1pct
25,4.5996173662050674,3.7863444859267044,-3.0414420079322304,0.720223726910089,0.12,2.7644811575404242,1.0,0.0,4.186371825237889,6.296819791561226,5.224902367312364,3.6361650036294852,0.88,3.3736449554022196,SpiralScanPath_3,Spiral,3,evaluation,Current sequential advective ST,top_1pct
