region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
saturated_censored_GP_sampled,73,5.504068306518821,2.1736624194621537,-1.4778017847807838,0.864687127154282,0.7123287671232876,2.917204113095145,1.0,0.0,1.8055678749126043,6.979077377065737,2.6139013479721,1.138680974745311,0.273972602739726,1.8549308339916304,HorizontalScanPath_10,Horizontal,10,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.324039832877567,4.956289677710333,-4.956289677710333,0.8842309649858655,0.32,3.048748230687963,1.0,0.0,5.9161952138098775,11.83495949826734,5.9161952138098775,2.8535200872223543,0.68,4.5045638367196466,HorizontalScanPath_10,Horizontal,10,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,0.9161878948199974,0.25638560388802806,-0.0463472410707666,0.016523630465916685,0.01759296281487405,0.05997294870414338,0.031187524990004,0.968812475009996,2.4149582594151573,8.519392481196688,3.7979247734540467,1.4552570717822837,0.41025641025641024,0.24918623072316093,HorizontalScanPath_11,Horizontal,11,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2423,0.24989981162618363,0.19912858643927173,-0.006149769713295657,6.937161921872763e-13,0.0,0.0,0.0,1.0,,,,,,0.19912858643929202,HorizontalScanPath_11,Horizontal,11,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,78,4.9974658971769905,2.035023466430805,-1.2950456141368192,0.5298153819689329,0.5641025641025641,1.9229787783213153,1.0,0.0,2.4149582594151573,8.519392481196688,3.7979247734540467,1.4552570717822837,0.41025641025641024,1.8041820268746274,HorizontalScanPath_11,Horizontal,11,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,8.738562703081362,4.8373034268021184,-4.805222403655562,0.5303315264804621,0.2,1.9726642735614723,1.0,0.0,8.84473152926197,14.843030918684601,8.880620685356254,4.507588693552528,0.76,4.5654872921623335,HorizontalScanPath_11,Horizontal,11,evaluation,Hybrid previous censored representation,Previous censored representation
overall,2501,1.002060840016103,0.26951334446025593,-0.0662182788425685,0.012526724652787383,0.014394242303078768,0.04954630848378952,0.03438624550179928,0.9656137544982007,4.258482191711774,11.08019135856974,5.210617003803203,2.2941197151860484,0.5581395348837209,0.2642102198865143,HorizontalScanPath_12,Horizontal,12,evaluation,Hybrid previous censored representation,Previous censored representation
unsaturated_observed_value_pinned,2415,0.25301956262345054,0.20436990546877284,-0.005732650992629905,7.084531578427546e-13,0.0,0.0,0.0,1.0,,,,,,0.2043699054687961,HorizontalScanPath_12,Horizontal,12,evaluation,Hybrid previous censored representation,Previous censored representation
saturated_censored_GP_sampled,86,5.234848904337671,2.09883200916295,-1.7647391074193328,0.36429463203384105,0.4186046511627907,1.44087578509253,1.0,0.0,4.258482191711774,11.08019135856974,5.210617003803203,2.2941197151860484,0.5581395348837209,1.9446097468491816,HorizontalScanPath_12,Horizontal,12,evaluation,Hybrid previous censored representation,Previous censored representation
top_1pct,25,9.640771745402471,5.785314533439411,-5.785314533439411,0.37769637131532113,0.0,1.5341673070040587,1.0,0.0,13.810469800058353,20.28584279246967,13.810469800058353,8.897521660961468,1.0,5.57941992647123,HorizontalScanPath_12,Horizontal,12,evaluation,Hybrid previous censored representation,Previous censored representation
