region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,method,stage
overall,2501,0.7614304400121651,0.08277631297998259,0.030994435733754065,0.6584181089038177,0.9968012794882047,2.518495248670275,1.0,0.0,-0.04399055802122094,1.0719597872573674,0.130885886991056,0.051279340303236484,0.003198720511795282,0.18432568799820795,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
above_camera_ceiling,76,4.343951785977076,1.0078896128981623,0.9986693729252067,0.6988078185546522,0.8947368421052632,2.6854481471775298,1.0,0.0,-1.407554795239748,6.091836828434672,1.4219275759515293,0.1426319640433286,0.10526315789473684,1.0167502805561714,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
top_1pct,25,7.562607099755482,2.8274206215522075,2.8274206215522075,0.7016526003209088,0.72,2.7146385259358135,1.0,0.0,-3.9798758193556214,10.605303594384296,3.9798758193556214,0.3142800636095695,0.28,2.692632739658743,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + fixed clipped-calibrated source,Oracle controlled current update
overall,2501,0.49080467553533647,0.07450205514134892,0.01073128141581301,0.6584181089038177,0.998000799680128,2.518495248670275,1.0,0.0,-0.015565417399901383,0.6952483602027648,0.11926909467810363,0.051279340303236484,0.001999200319872051,0.17605669678570868,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
above_camera_ceiling,76,2.7781030548266368,0.7356012069189148,0.33185162359401493,0.6988078185546522,0.9342105263157895,2.6854481471775298,1.0,0.0,-0.4721432597934291,3.8990749348758302,1.0396433973371373,0.1426319640433286,0.06578947368421052,0.7446351881553736,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
top_1pct,25,4.8321586933904035,2.0020689991633547,0.9724512950420034,0.7016526003209088,0.8,2.7146385259358135,1.0,0.0,-1.3784508142907428,6.781277177822648,2.8203570371782045,0.2925743295161816,0.2,1.8790826586667069,DiagonalScanPath_3,Diagonal,3,evaluation,Oracle true previous state + dev-calibrated source,Oracle controlled current update
overall,2501,0.5925028010426098,0.19031958077853803,0.01546784254102005,0.6578175780505755,0.9896041583366654,2.5167716907048154,1.0,0.0,-0.026639497580296895,0.8577377464253007,0.29140995167464134,0.14801096658555907,0.010395841663334666,0.21960919215815852,DiagonalScanPath_4,Diagonal,4,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,3.2044335075120465,1.7358039088644965,-1.4502834499332335,0.6780478957015402,0.6578947368421053,2.616613454063484,1.0,0.0,2.105372260345602,4.581824840235998,2.511934747969106,0.8525853661835252,0.34210526315789475,1.5421894072206408,DiagonalScanPath_4,Diagonal,4,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
top_1pct,25,5.515392312953206,4.363882186513559,-3.6118164030502453,0.6905496607814858,0.04,2.704360599378674,1.0,0.0,5.228681660792871,7.880043389386639,6.281894110459956,3.813680536898526,0.96,3.987576324820672,DiagonalScanPath_4,Diagonal,4,evaluation,Observed-clipped previous state + ST innovation,Oracle controlled current update
overall,2501,0.5204399531079155,0.1873602291760138,0.05479643870417189,0.6579468150401352,0.9900039984006398,2.516921134903803,1.0,0.0,-0.08406338318659719,0.7540515443243764,0.2869139092311478,0.1506961121182771,0.009196321471411436,0.213392369043102,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
above_camera_ceiling,76,2.7454978004459014,1.5864177831958528,-0.20853200252080223,0.6818047446082892,0.7105263157894737,2.591715225365768,1.0,0.0,0.29285231775002224,3.910864914212273,2.2874710899317163,1.3281478356091245,0.27631578947368424,1.3188918254401216,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
top_1pct,25,4.574496053813102,3.183703007662,-2.0779640147210032,0.6925370931052649,0.4,2.6339470259264974,1.0,0.0,3.0007113951647932,6.502537572580732,4.55097750688475,2.2914447051617706,0.52,2.8392424614382445,DiagonalScanPath_4,Diagonal,4,evaluation,Posterior-mean previous state + ST innovation,Oracle controlled current update
