trajectory,method,region,rmse_K_rerun,mae_K_rerun,signed_error_K_rerun,crps_K_rerun,coverage_95_rerun,interval_width_95_K_rerun,posterior_sd_K_rerun,rmse_K_saved,mae_K_saved,signed_error_K_saved,crps_K_saved,coverage_95_saved,interval_width_95_K_saved,posterior_sd_K_saved,rmse_K_difference,mae_K_difference,signed_error_K_difference,crps_K_difference,coverage_95_difference,interval_width_95_K_difference,posterior_sd_K_difference
DiagonalScanPath_4,posterior physics mean + RBF,Q2,0.20529207214825873,0.1405186341759494,0.0616401292036553,0.6973306483193261,1.0,11.32304326230632,2.959470261543826,0.2052920721482587,0.1405186341759494,0.0616401292036553,0.6973306483193261,1.0,11.32304326230632,2.959470261543826,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,Q3,0.20657187679156744,0.1515097728891191,0.04400138593031461,0.7010272112660779,1.0,11.321148824622014,2.963901485939271,0.2065718767915674,0.1515097728891191,0.0440013859303146,0.7010272112660779,1.0,11.321148824622014,2.963901485939271,2.7755575615628914e-17,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,Q4,1.0227550945035997,0.41160947013629,0.06238481182715468,0.8130880119917907,0.992,11.661176987258802,3.0395944013105063,1.0227550945035997,0.41160947013629,0.0623848118271546,0.8130880119917907,0.992,11.661176987258802,3.0395944013105063,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,top_1pct,4.346749795662436,2.840442897000171,-1.7659136360172103,2.323647954553979,0.8076923076923077,12.480492154370214,3.2671336653048355,4.346749795662436,2.840442897000171,-1.7659136360172103,2.323647954553979,0.8076923076923077,12.480492154370214,3.2671336653048355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,above_camera_ceiling,2.804252006457385,1.7833016936915653,0.19077272339425638,1.461389902385087,0.9342105263157895,12.142901514172046,3.176046180828538,2.804252006457385,1.783301693691565,0.1907727233942563,1.461389902385087,0.9342105263157896,12.142901514172046,3.176046180828538,0.0,2.220446049250313e-16,8.326672684688674e-17,0.0,-1.1102230246251565e-16,0.0,0.0
DiagonalScanPath_4,posterior physics mean + RBF,overall,0.5409806320517051,0.21093902706575562,0.062496124083461585,0.7309875829418128,0.998000799680128,11.454065921869729,2.994366013784295,0.5409806320517051,0.2109390270657556,0.0624961240834615,0.7309875829418128,0.998000799680128,11.454065921869727,2.994366013784295,0.0,2.7755575615628914e-17,8.326672684688674e-17,0.0,0.0,1.7763568394002505e-15,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,Q1,0.19473339204872805,0.13565558423520174,0.08004992021936062,0.17635893708580422,1.0,2.508178856989993,0.6573728594561151,0.194733392048728,0.1356555842352017,0.0800499202193606,0.1763589370858042,1.0,2.508178856989993,0.6573728594561151,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,Q2,0.18713622351795292,0.12829855916586938,0.06448762806927143,0.17516300790617548,1.0,2.512408679030551,0.6542050012793948,0.1871362235179529,0.1282985591658693,0.0644876280692714,0.1751630079061754,1.0,2.512408679030551,0.6542050012793948,2.7755575615628914e-17,8.326672684688674e-17,2.7755575615628914e-17,8.326672684688674e-17,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,Q3,0.18097009562072583,0.13150788177821396,0.05419708442531792,0.17354065022841236,1.0,2.504504705925024,0.6563207074272236,0.1809700956207258,0.1315078817782139,0.0541970844253179,0.1735406502284123,1.0,2.504504705925024,0.6563207074272236,2.7755575615628914e-17,5.551115123125783e-17,2.0816681711721685e-17,5.551115123125783e-17,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,Q4,1.0163785614496792,0.36554739956053006,-0.047517640224001755,0.32151825651933796,0.976,2.645898176487074,0.6933381832764106,1.0163785614496792,0.36554739956053,-0.0475176402240017,0.3215182565193379,0.976,2.645898176487074,0.6933381832764106,0.0,5.551115123125783e-17,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,top_1pct,4.70285365377059,3.1244951933430536,-2.4422290080991833,2.7114258848457493,0.5769230769230769,3.4920348184439174,0.9377901717063382,4.70285365377059,3.1244951933430536,-2.4422290080991833,2.7114258848457493,0.5769230769230769,3.4920348184439174,0.9377901717063382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,above_camera_ceiling,2.8003115241496035,1.4159162371335277,-0.5668901988346203,1.1736258499492311,0.8421052631578947,3.3391562750914416,0.8949861685048855,2.8003115241496035,1.4159162371335277,-0.5668901988346203,1.1736258499492311,0.8421052631578947,3.3391562750914416,0.8949861685048855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiagonalScanPath_5,full-posterior mixture sequential advective stochastic ST,overall,0.5334608609778492,0.1902305262081646,0.03782113963472091,0.2116311040681396,0.9940023990403839,2.542733782637901,0.6653060145977295,0.5334608609778492,0.1902305262081646,0.0378211396347209,0.2116311040681396,0.994002399040384,2.542733782637901,0.6653060145977295,0.0,0.0,1.3877787807814457e-17,0.0,-1.1102230246251565e-16,0.0,0.0
DiagonalScanPath_5,posterior physics mean + RBF,Q1,0.21692307581488443,0.1550997491639251,0.0715599734009679,0.7100624678918489,1.0,11.453161433079877,2.992151200309792,0.2169230758148844,0.1550997491639251,0.0715599734009679,0.7100624678918489,1.0,11.453161433079876,2.992151200309792,2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0
DiagonalScanPath_5,posterior physics mean + RBF,Q2,0.21400380593935117,0.15159272823163228,0.05072222884713356,0.6992074424219912,1.0,11.357035849250192,2.960573597639925,0.2140038059393511,0.1515927282316322,0.0507222288471335,0.6992074424219912,1.0,11.357035849250192,2.960573597639925,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0
