trajectory,method,method_label,percentile_bin,percentile_lower,percentile_upper,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K,mean_abs_standardized_residual
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,20-30%,20.0,30.0,250,0.2036953137135038,0.13947157202693233,0.09749573799307837,0.6902930719889289,1.0,11.151097208045597,2.8976641222257453,0.06294327529212657
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,30-40%,30.0,40.0,250,0.1913589954898421,0.12569747359043573,0.08082974864935227,0.6789551375667893,1.0,11.135329308170755,2.9222830332001486,0.05634035078425677
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,40-50%,40.0,50.0,250,0.15881780701610787,0.10360136306524942,0.03706011895317238,0.7182846127259772,1.0,11.562752310538318,3.039666127867022,0.04710273178568966
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,50-60%,50.0,60.0,251,0.1752331036615386,0.12180660999479911,0.03990004831840711,0.7097066167995245,1.0,11.500482828080223,2.999594616631098,0.04873910069104743
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,60-70%,60.0,70.0,250,0.21326204227208842,0.15442086997872842,0.06302353090418523,0.7209575916499789,1.0,11.651351039208286,3.046764861562983,0.06687860072816718
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,70-80%,70.0,80.0,250,0.21854860682551644,0.1713122016383204,0.04817449606266928,0.7112165954403054,1.0,11.462519732806,3.0013993840801834,0.07084311256196096
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,80-90%,80.0,90.0,250,0.318413628073699,0.25184653605079027,0.07660293939432494,0.7023051283787002,1.0,11.261199974681123,2.9391419209619225,0.1049419273488215
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,90-95%,90.0,95.0,125,0.2875440499031506,0.22892316576699978,-0.00800654223141919,0.7200157444154067,1.0,11.674524252307585,3.0258037373604294,0.08782928950905033
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,95-99%,95.0,99.0,100,1.2541265940991262,0.958241618762599,0.8083374527398991,0.9349619729622226,1.0,12.026390644087316,3.1677216366111587,0.31780479497276376
HorizontalScanPath_11,posterior physics mean + RBF,posterior mean + RBF,99-100%,99.0,100.0,25,3.7728085839912713,2.505102676876886,-2.4077561712561373,1.957607296477764,0.88,12.89783275896985,3.3849782305889744,0.7408577408733532
HorizontalScanPath_11,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,0-10%,0.0,10.0,250,0.16892943905941032,0.11694530916236977,0.035922715184372234,0.17116069629591868,1.0,2.54842262943278,0.6611435774597958,0.18040082449776634
HorizontalScanPath_11,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,10-20%,10.0,20.0,250,0.1938874655031904,0.1288612015452261,0.09535877504952237,0.17694971084622432,1.0,2.556605682883638,0.6615720354270904,0.2013640668415772
HorizontalScanPath_11,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,20-30%,20.0,30.0,250,0.19443602006637084,0.12738893703535292,0.1004120804474444,0.17269700912741298,1.0,2.465521506017683,0.6495428631551683,0.20230694791266865
HorizontalScanPath_11,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,30-40%,30.0,40.0,250,0.1808751687701172,0.11289832974898469,0.0837423411086263,0.1725952208178956,1.0,2.487752212320705,0.6524877880940227,0.17615397369326027
HorizontalScanPath_11,posterior physics mean + variance-matched RBF (diagnostic),variance-matched RBF,40-50%,40.0,50.0,250,0.14996362149087708,0.09473277809589217,0.05155044155661335,0.16798704115643176,1.0,2.5329994276006356,0.6665131812834748,0.14620209330235806
