trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
SpiralScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.4828254441316515,0.17955411942083802,-0.015462913113826561,0.5725848202595776,0.9976009596161536,8.896369024576865,2.3273641451426728
SpiralScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.5038470482007438,1.436432658981737,-0.4956159657790709,1.238534337033666,0.9210526315789473,9.585857374283858,2.4940689138238996
SpiralScanPath_1,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.125770389149115,2.9847703311116356,-2.17599830196688,2.259030377209796,0.7692307692307693,9.360513876777325,2.449020414876036
SpiralScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5096306887135347,0.20286367696158397,0.053725111175416514,0.5665831682811174,0.9976009596161536,8.72970672594763,2.2831891680590557
SpiralScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.487873008457032,1.5848035287291493,-0.16317123007188172,1.2866862830803596,0.9210526315789473,9.68056989159616,2.5076491174039113
SpiralScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,3.94284523927211,2.8137282166027875,-2.2184355012236665,2.1851625631922382,0.7692307692307693,10.01903670628772,2.596706111785169
SpiralScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5259497528780233,0.21531794990998954,0.03836518885643408,0.5551280286862788,0.9972011195521792,8.5130156141211,2.2265666755474918
SpiralScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.5521027587740157,1.4222145979940415,-0.5877271877188152,1.1956840889393539,0.9078947368421053,8.862852992737395,2.3217831378975027
SpiralScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.2245868997964235,2.977468310863849,-2.2346288142649677,2.2822639786425203,0.7307692307692307,9.32506443688776,2.424671105003256
SpiralScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.516315181841833,0.20918914431056046,-0.028519137718261187,0.5565759539132348,0.9976009596161536,8.562475055820299,2.2388046341500285
SpiralScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.5853528967645456,1.594869855551033,-0.8708543935561796,1.2911599731844898,0.9210526315789473,9.064796108761954,2.3963054660816083
SpiralScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.250480641126511,3.2765655605498387,-2.601252888671719,2.465975552497304,0.7692307692307693,9.701791718381052,2.5294257918077614
SpiralScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.6056342686830211,0.24257814660981972,0.04054971144209488,0.5693590953340417,0.9960015993602559,8.537089945324448,2.2303800948035923
SpiralScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.893578878125197,2.081938469114485,-0.42535478879912453,1.5212495090724465,0.8947368421052632,9.360526054441554,2.460463270206781
SpiralScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.472567304809744,3.619200670749074,-2.8986164658383915,2.680669902329186,0.6923076923076923,9.176690442301915,2.4095915531449377
