trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,setting,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,24.845803141059957,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.4082978702129201,0.4574256697916193,319.1296936365724,306.13717000650195,12.99252363007048,0.30342810675039195,False,0.9772091163534586,0.35526315789473684,0.7612219078508836,1.6498362464764842,11.515635014838352,1.3239862206075395,55.4519065887494,1.0,False,0.35526315789473684,1.3239862206075395,55.4519065887494,beta x2,0.03,1.0,1.0,2.0,1.0
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.41337866521279215,0.46707098926260404,319.1296936365724,305.8796536166802,13.250040019892253,0.2549064119636253,False,0.9772091163534586,0.35526315789473684,0.7895941915899038,1.7103524712243285,11.988425729792445,1.3662158579514903,58.08933846995624,1.0,False,0.35526315789473684,1.3662158579514903,58.08933846995624,length x0.75,0.03,1.0,1.0,1.0,0.75
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.37906107237391795,0.39905321185176224,319.1296936365724,307.3623569978408,11.76733663873165,0.6083674095731479,False,0.9848060775689724,0.631578947368421,0.7172759414073968,1.2992142529589676,10.939747067643733,2.938135971022652,29.561556165295805,1.0,False,0.631578947368421,2.938135971022652,29.561556165295805,length x1.25,0.03,1.0,1.0,1.0,1.25
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.544571673716474,0.49593108437906497,319.1296936365724,308.7707888511708,10.358904785401648,1.1124592468992056,False,0.9792083166733306,0.5131578947368421,0.7164321243296231,1.8945196351932623,10.418570480260735,6.782077186878762,29.002379416771944,1.0,False,0.5131578947368421,6.782077186878762,29.002379416771944,length x1.5,0.03,1.0,1.0,1.0,1.5
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.36146548492312863,0.37789522174420026,319.1296936365724,307.72798902467355,11.401704611898879,1.8219777501340295,False,0.9956017592962815,0.868421052631579,0.714059847009054,1.1225944266175847,11.041449114714121,4.06877851755672,18.3799656956679,1.0,False,0.868421052631579,4.06877851755672,18.3799656956679,noise x2 + length x1.25,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.5270669455807463,0.5002696354659114,319.1296936365724,306.97850070903337,12.151192927539057,1.0185748296633208,False,0.9832067173130747,0.5394736842105263,0.7133351990813716,1.8946390102244566,10.404289417538891,4.199064234820941,39.32804420467976,1.0,False,0.5394736842105263,4.199064234820941,39.32804420467976,noise x2 + length x1.5,0.03,1.0,2.0,1.0,1.5
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.39726980068489975,0.40493112174562135,319.1296936365724,307.2711011727026,11.858592463869854,0.9929852109817117,False,0.9908036785285885,0.7105263157894737,0.7273152306656229,1.3552539814009286,11.161174123428733,4.5669233391260375,22.070337429201746,1.0,False,0.7105263157894737,4.5669233391260375,22.070337429201746,noise x3 + length x1.25,0.03,1.0,3.0,1.0,1.25
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.3117416114971132,0.3564082545655843,335.7083806056465,334.28359508296586,1.4247855226806223,0.25658234990366496,False,0.9828068772491003,0.47368421052631576,0.7520392210880533,1.5261789946480058,11.43796255544176,1.2050416321617832,51.72997662309638,1.0,False,0.47368421052631576,1.2050416321617832,51.72997662309638,base,0.03,1.0,1.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,2.5728850421337723,0.17022272061337845,2,382,154,296.4901280292387,0.3055286696712378,0.34714778209142755,335.7083806056465,334.5762390681651,1.1321415374814023,0.2658908568737868,False,0.9812075169932027,0.4605263157894737,0.5760876010049324,1.4758385089487767,8.580660303439387,1.2045706386646682,48.74324330769138,1.0,False,0.4605263157894737,1.2045706386646682,48.74324330769138,signal x0.75,0.03,0.75,1.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,5.145770084267545,0.17022272061337845,2,382,154,296.4901280292387,0.3077506707341259,0.35163928493940233,335.7083806056465,334.6315703381944,1.0768102674520605,0.25796156066487697,False,0.9816073570571772,0.4605263157894737,1.0954509940692208,1.5065891727509224,17.056458197072516,1.3925729150159485,50.28289728832874,1.0,False,0.4605263157894737,1.3925729150159485,50.28289728832874,signal x1.5,0.03,1.5,1.0,1.0,1.0
