family,fraction_saturated,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,hot_region_rel_l2_mean,hot_region_rel_l2_std,hot_region_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,true_peak_in_95_mean,true_peak_in_95_std,true_peak_in_95_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,hot_region_interval_score_K_mean,hot_region_interval_score_K_std,hot_region_interval_score_K_count,calibrated_hot_region_95_coverage_mean,calibrated_hot_region_95_coverage_std,calibrated_hot_region_95_coverage_count,calibrated_true_peak_in_95_mean,calibrated_true_peak_in_95_std,calibrated_true_peak_in_95_count,calibrated_hot_region_95_interval_width_K_mean,calibrated_hot_region_95_interval_width_K_std,calibrated_hot_region_95_interval_width_K_count,calibrated_hot_region_interval_score_K_mean,calibrated_hot_region_interval_score_K_std,calibrated_hot_region_interval_score_K_count
Horizontal,0.03,snapshot RBF,0.6485100745278635,0.06985337412599336,11,0.6285720576123658,0.0767920131553738,11,18.184542064585933,1.7849183852065849,11,1.3957332046378197,0.13020288617323403,11,0.7165071770334929,0.09273537029935262,11,0.0,0.0,11,3.1180095589331303,0.7814958531218941,11,33.91760318420541,5.460261467159868,11,0.9485645933014354,0.02458417718404806,11,0.0,0.0,11,13.255265031667966,3.322290858474665,11,25.384255720839587,2.7563221898305548,11
Horizontal,0.03,space-time heat,0.6532719592290842,0.08059680576957279,11,0.6701288558884477,0.08097132882855458,11,19.644629679114136,1.5466490133226065,11,1.4910411579850906,0.06146713842842296,11,0.611244019138756,0.04936004458578776,11,0.0,0.0,11,2.1975618606643126,0.32064415547627123,11,43.26605238146587,4.479975428512689,11,0.965311004784689,0.01216337207548922,11,0.0,0.0,11,24.035105593631815,3.5069393370903192,11,31.566634706119586,1.6137741673568224,11
Horizontal,0.03,physics mean + RBF,0.5332308440026237,0.07507666484568155,11,0.4996698866514555,0.057161431877887886,11,11.44432994960634,1.371035081506293,11,1.3398625528013992,0.30156102445738353,11,0.75,0.10559159288283626,11,0.0,0.0,11,4.125322317761555,1.0194222937746162,11,23.924930866675155,4.403203142139026,11,0.9461722488038279,0.024584177184048133,11,0.0,0.0,11,10.49446565350107,2.5933227574411686,11,18.3177839532845,1.3490122852859712,11
Horizontal,0.03,physics mean + space-time,0.48712538044968173,0.06734675717297833,11,0.49788056569946004,0.062133258633215775,11,11.90393353541408,1.8208842042885178,11,1.2276914228017264,0.07726208722430081,11,0.6626794258373205,0.08243874735966195,11,0.0,0.0,11,2.5205071135080046,0.9647849555299919,11,31.83317265658627,5.576598722906602,11,0.9497607655502392,0.01935434791404864,11,0.09090909090909091,0.30151134457776363,11,14.992021111446586,5.738558063889296,11,22.89638183001634,3.333513797115449,11
Horizontal,0.05,snapshot RBF,0.6931637670397488,0.08144544898164664,11,0.6954332216663679,0.08128280424862688,11,20.018920864996062,1.7916649356563517,11,1.2143056949613544,0.09273313177967757,11,0.6587301587301587,0.04600437062282361,11,0.0,0.0,11,2.1075443870060675,0.37459142183971744,11,34.03655647816104,4.101062082781601,11,0.937950937950938,0.01938139496725057,11,0.0,0.0,11,8.959581068548207,1.592460985518512,11,23.191161302794963,0.9432376687522599,11
Horizontal,0.05,space-time heat,0.6936113669454792,0.0794648610367408,11,0.7054597449833213,0.07252499941065435,11,20.69156189601137,1.3782251900581763,11,1.2472196975237775,0.13533539767216918,11,0.6320346320346321,0.042484079876964245,11,0.0,0.0,11,1.898341012448227,0.08412676967757188,11,37.228417891601524,4.964198797142932,11,0.9725829725829727,0.004144706094183211,11,0.0,0.0,11,20.762476589906907,0.9201087025783842,11,27.143395815357835,0.6093756750251116,11
Horizontal,0.05,physics mean + RBF,0.5313481646757847,0.07446690521115822,11,0.5294054666591095,0.06612706031851401,11,12.591031470860834,1.567991469452285,11,1.0231998989123239,0.08345823946462248,11,0.6926406926406927,0.06168978842649879,11,0.0,0.0,11,2.242973669426836,0.35108494782717614,11,25.847151930299912,3.606183124282569,11,0.898989898989899,0.03331271264881533,11,0.0,0.0,11,5.705932366584052,0.8931299526754899,11,18.8100064376617,1.5188067162513368,11
Horizontal,0.05,physics mean + space-time,0.538550698942628,0.06702852405891876,11,0.5450326798949543,0.05838034776447459,11,12.609753125689814,1.5152823330642655,11,1.0811887869396248,0.10495530416145946,11,0.6406926406926406,0.0559049003868413,11,0.0,0.0,11,1.998380682659304,0.17770466331062038,11,29.41927958926938,3.9649230388867602,11,0.9588744588744589,0.006935419821470637,11,0.0,0.0,11,11.88640382031605,1.0569904959511902,11,18.652440852205288,0.9567808364954457,11
Horizontal,0.1,snapshot RBF,0.7802844366537129,0.07643892052998619,11,0.7680819473145526,0.053006397987026166,11,21.551843647115437,1.486414046117922,11,0.9996370122580537,0.19698945833266562,11,0.6562839550887359,0.09173891229143245,11,0.0,0.0,11,1.7869598591675315,0.07519401772198811,11,28.681547826821483,6.317823741137945,11,0.9322709163346613,0.031014343356220744,11,0.0,0.0,11,7.596713892795889,0.3196643932169121,11,17.589820527073538,1.592052130054961,11
Horizontal,0.1,space-time heat,0.7855705634912674,0.08182662387554723,11,0.7718501852205777,0.05189585494585348,11,21.68840604426184,1.485851633333717,11,1.0113220970590204,0.2065499434977334,11,0.6475914523723288,0.10115699683406781,11,0.0,0.0,11,1.772987884621273,0.07105260093263834,11,29.11045054207824,6.667235432787901,11,0.9847881202462876,0.0024024808332888943,11,0.0,0.0,11,19.3914682384505,0.7771143086738395,11,23.358839984795985,0.6114825041328172,11
