trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,family,run_index,role,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
HorizontalScanPath_10,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1747785923051746,2,470,243,295.35756727353834,0.4618942255571006,0.47094531915187,318.649993978916,305.51666898869655,13.13332499021942,0.5330586178368522,False,0.9836065573770492,0.6984126984126984,0.7200308013919405,1.1077900208964695,10.693234090166786,2.181788268872797,27.40447972692541,5.9480177743203875,False,0.9603174603174603,12.977315403059103,17.22064402710873,Horizontal,10,evaluation,0.05,1.0,2.0,1.0,1.25
HorizontalScanPath_10,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1824470001662968,1,358,249,294.3202710619835,0.7238963745106407,0.7247118242336957,318.649993978916,295.26045907854785,23.38953490036812,0.4255611808660692,False,0.9560175929628149,0.5617529880478087,0.7499932347724141,1.2038488507740952,10.207912082236064,1.798593423616804,35.048394930815604,4.251194481970554,False,0.900398406374502,7.646170437788284,18.615748814249656,Horizontal,10,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_10,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1824470001662968,2,716,498,294.3202710619835,0.7232637660470705,0.7273261526241933,318.649993978916,295.12429141292245,23.525702565993527,0.4176985318598767,False,0.9528188724510196,0.5298804780876494,0.7443359416981425,1.2290015582559997,10.12785519048153,1.7444308745910364,36.21057169358273,10.937169061701004,False,0.9840637450199204,19.07913539185311,23.230664368074617,Horizontal,10,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1824470001662968,1,358,249,294.3202710619835,0.5973769128822798,0.5957930365093695,318.649993978916,304.5574695051553,14.092524473760648,0.4378353274140398,False,0.9564174330267892,0.5737051792828686,0.7375623711633336,1.0887623786564558,10.216848068393269,1.8270570756975475,29.978457616763,2.543914110254416,False,0.8207171314741036,4.647876275107161,19.338054544527864,Horizontal,10,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_10,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1824470001662968,2,716,498,294.3202710619835,0.6193761902876633,0.6209732991046698,318.649993978916,304.29168229598065,14.358311682935325,0.4170729427875706,False,0.955217912834866,0.5537848605577689,0.7369716665359022,1.1650105670778412,10.106388844992804,1.7317706814563147,34.01756617940164,5.9480177743203875,False,0.9641434262948207,10.300602794349096,16.197930264532914,Horizontal,10,evaluation,0.1,1.0,2.0,1.0,1.25
HorizontalScanPath_11,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,143,26,298.25372227750665,0.5426181058361386,0.5020742641774336,317.2636056084965,302.79963055961514,14.463975048881366,1.889650217945347,False,0.9964014394242304,0.6538461538461539,0.7507829793827809,2.396511543087507,11.309959210855824,5.63506366039639,44.97556043736212,4.251194481970554,True,1.0,23.95575153862992,23.95575153862992,Horizontal,11,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_11,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,280,46,298.25372227750665,0.4944000025153467,0.4414107056744076,317.2636056084965,303.4519829286964,13.81162267980011,2.732048301546028,False,0.9956017592962816,0.6153846153846154,0.7399701136242093,2.1930050011391677,11.158346441855604,4.653766260476402,44.85460758831091,10.937169061701004,True,1.0,50.89902836447048,50.89902836447048,Horizontal,11,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_11,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1576595047349801,1,143,26,298.25372227750665,0.4070828919108993,0.4335747173988447,317.2636056084965,307.14076581299565,10.122839795500852,2.387851592647368,False,0.9964014394242304,0.7307692307692307,0.7356923704026944,2.328857949169132,11.31991745980848,7.562686312237627,25.89641202825785,2.543914110254416,True,1.0,19.238824421129227,19.238824421129227,Horizontal,11,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_11,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1576595047349801,2,280,46,298.25372227750665,0.434913815129624,0.414486999655755,317.2636056084965,306.4315315429341,10.83207406556238,2.5440555814458388,False,0.9956017592962816,0.6538461538461539,0.7327790456173623,2.1407000371302916,11.228852142689352,7.414633075087618,26.927397644688593,5.9480177743203875,True,1.0,44.102369320684986,44.102369320684986,Horizontal,11,evaluation,0.01,1.0,2.0,1.0,1.25
HorizontalScanPath_11,snapshot RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,192,78,296.2091569703494,0.5436094977411767,0.5196238472634829,317.2636056084965,299.06987527477094,18.19373033372557,1.2879257459024889,False,0.9936025589764096,0.7894736842105263,0.7412867103937932,1.3132570737299438,11.080388316290897,3.303392592194232,30.060013110759332,4.251194481970554,False,0.9473684210526316,14.043364359718533,26.30179821357034,Horizontal,11,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_11,space-time heat,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,381,153,296.2091569703494,0.5442957199546447,0.5531451724527884,317.2636056084965,299.0853925086502,18.17821309984629,0.7042102353297331,False,0.9896041583366654,0.6710526315789473,0.7338485536978792,1.4730257925436674,10.94739962307222,2.843163050357683,35.14772405989528,10.937169061701004,False,0.986842105263158,31.09615495174351,35.00558847078472,Horizontal,11,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_11,physics mean + RBF,3.6109129986233175e-06,0.0,3.4305133895116966,0.1702227206133784,1,192,78,296.2091569703494,0.4433983172250002,0.4253481525485567,317.2636056084965,305.8149229152176,11.448682693278895,1.0883980659596575,False,0.990403838464614,0.7368421052631579,0.7352853963529811,1.3420106253115798,11.164407312818083,5.23069134130908,20.13042435790878,2.543914110254416,False,0.9736842105263158,13.306429509541765,16.950615834246673,Horizontal,11,evaluation,0.03,1.0,2.0,1.0,1.25
HorizontalScanPath_11,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.1702227206133784,2,381,153,296.2091569703494,0.411184306383421,0.4417778082421965,317.2636056084965,304.30941046754936,12.95419514094715,0.4792316213691908,False,0.9872051179528188,0.618421052631579,0.7200344886608167,1.3146234249173088,10.916141102795653,2.4112538193920607,34.512167861383475,5.9480177743203875,False,0.9473684210526316,14.342180576141896,24.295720165934856,Horizontal,11,evaluation,0.03,1.0,2.0,1.0,1.25
