method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,tuning_strategy,tuning_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
exact clipped,0.10979487657817678,0.28387966979895407,1520.195695818044,862.0603938085936,658.1353020094504,0.6034482758620694,0.12068965517241415,862.0603938085936,14.204019683472072,834.2205152289883,889.9002723881989,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,0,path_aligned,1.6,0.45
discard saturated,0.10065859309462054,0.2575537038514594,1520.195695818044,926.3313613116828,593.8643345063612,0.6034482758620694,0.12068965517241415,926.3313613116828,46.60193265253142,834.9915733127212,1017.6711493106444,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,0,path_aligned,1.6,0.45
censored Laplace,0.0848644444456214,0.20808572098779463,1520.195695818044,1016.6289919423717,503.56670387567226,0.6034482758620694,0.12068965517241415,1016.6289919423717,34.81068925310365,948.4000410062886,1084.8579428784549,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,0,path_aligned,1.6,0.45
censored sampled,0.08767995913151592,0.21516875064527005,1520.195695818044,1002.6476507372121,517.5480450808319,0.6034482758620694,0.12068965517241415,1002.6476507372121,26.81799186210293,959.115155788837,1059.061394117609,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,0,path_aligned,1.6,0.45
oracle true,0.04973514106132664,0.10330317343839387,1520.195695818044,1316.6437372915884,203.55195852645556,0.6034482758620694,0.12068965517241415,1316.6437372915884,14.204019683472072,1288.8038587119831,1344.4836158711937,False,laser_path,moving-laser path,17,289,9,0.031141868512110725,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,0,path_aligned,1.6,0.45
exact clipped,0.11932877150261054,0.2959189258402852,1520.195695818044,974.7758027138137,545.4198931042303,0.6034482758620694,0.12068965517241415,833.492072151594,39.20841233647386,756.6435839721053,910.3405603310828,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,1,path_aligned,1.1,0.2
discard saturated,0.098315047739201,0.21152085757924327,1520.195695818044,1197.9033574865866,322.29233833145736,0.6034482758620694,0.12068965517241415,1192.1415157557926,320.37050360049517,564.2153286988221,1820.0677028127632,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,1,path_aligned,1.1,0.2
censored Laplace,0.1017045713167226,0.21815659899149062,1520.195695818044,1384.8618643714817,135.33383144656227,0.6034482758620694,0.12068965517241415,1267.8640438077678,293.25860126317997,693.0771853319351,1842.6509022836003,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,1,path_aligned,1.1,0.2
censored sampled,0.10300915968518029,0.21286525502008488,1520.195695818044,1392.1742161140032,128.02147970404076,0.6034482758620694,0.12068965517241415,1346.6213751646205,282.85777084519424,892.9514335678384,1979.0285413558709,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,1,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,1,path_aligned,1.1,0.2
exact clipped,0.10841842505493528,0.28390944008614644,1520.195695818044,863.1402121472332,657.0554836708108,0.6034482758620694,0.12068965517241415,863.1402121472332,12.66706243368589,838.3127697772089,887.9676545172575,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,1,path_aligned,2.1,0.45
discard saturated,0.10540787168605535,0.26723554027707547,1520.195695818044,951.4513723219774,568.7443234960666,0.6034482758620694,0.12068965517241415,951.4513723219774,34.76201704376757,883.3178189161929,1019.5849257277619,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,1,path_aligned,2.1,0.45
censored Laplace,0.08339801694643093,0.20860971260833544,1520.195695818044,1012.2065380646771,507.98915775336684,0.6034482758620694,0.12068965517241415,1012.2065380646771,28.819212596274856,955.7208813759785,1068.6921947533758,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,1,path_aligned,2.1,0.45
censored sampled,0.08264848320714656,0.20399636866721668,1520.195695818044,1026.6524961760883,493.54319964195565,0.6034482758620694,0.12068965517241415,1025.4264263820119,16.405419329112753,990.505296640682,1055.749816338145,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,1,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,1,path_aligned,2.1,0.45
exact clipped,0.10864238199515397,0.28480722985532636,1520.195695818044,865.4552453947384,654.7404504233056,0.6034482758620694,0.12068965517241415,861.4157563036773,14.204019683472072,833.575877724072,889.2556348832826,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,1,path_aligned,1.6,0.45
discard saturated,0.10178511485599125,0.2566340515687942,1520.195695818044,970.7774587876396,549.4182370304044,0.6034482758620694,0.12068965517241415,970.7774587876396,47.30563886497608,878.0584066122865,1063.4965109629927,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,1,path_aligned,1.6,0.45
censored Laplace,0.08227963874132574,0.20447464062486553,1520.195695818044,1022.4249385603074,497.7707572577366,0.6034482758620694,0.12068965517241415,1022.4249385603074,36.59053169045235,950.7074964470207,1094.142380673594,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,1,path_aligned,1.6,0.45
censored sampled,0.08288707809552871,0.2038283803186003,1520.195695818044,1033.6344230407617,486.5612727772823,0.6034482758620694,0.12068965517241415,1033.6344230407617,39.88513780786632,961.3287971748301,1100.7437905626973,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,1,path_aligned,1.6,0.45
oracle true,0.04973514106132664,0.10330317343839387,1520.195695818044,1316.6437372915884,203.55195852645556,0.6034482758620694,0.12068965517241415,1316.6437372915884,14.204019683472072,1288.8038587119831,1344.4836158711937,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,1,path_aligned,1.6,0.45
exact clipped,0.11899215227297884,0.2912235358727237,1520.195695818044,978.0899997182117,542.1056960998322,0.6034482758620694,0.12068965517241415,848.3724412210744,39.20841233647386,771.5239530415856,925.2209294005631,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,2,path_aligned,1.1,0.2
discard saturated,0.10045902644821603,0.22049234441997084,1520.195695818044,1212.5670785166026,307.6286173014414,0.6034482758620694,0.12068965517241415,1206.759083551828,320.37050360049517,578.8328964948576,1834.6852706087986,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,2,path_aligned,1.1,0.2
